セクション,項目,享界S9 2026款 增程 Max 后驱 37kWh (896线激光雷达）,享界S9 2026款 增程 Max 后驱 53kWh (896线激光雷达）,享界S9 2026款 增程 Ultra 后驱 53kWh (896线激光雷达）,享界S9 2026款 纯电 Max 后驱 100kWh (896线激光雷达）,享界S9 2026款 纯电 Max 四驱 100kWh (896线激光雷达）,享界S9 2026款 纯电 Ultra 四驱 100kWh (896线激光雷达）,享界S9 2026款 增程 Max 后驱 37kWh (192线激光雷达）,享界S9 2026款 增程 Max 后驱 53kWh (192线激光雷达）,享界S9 2026款 纯电 Max 后驱 100kWh (192线激光雷达）,享界S9 2026款 增程 Ultra 后驱 53kWh (192线激光雷达）,享界S9 2026款 纯电 Max 四驱 100kWh (192线激光雷达）,享界S9 2026款 纯电 Ultra 四驱 100kWh (192线激光雷达）
发动机,排量(L),1.5,1.5,1.5,-,-,-,1.5,1.5,-,1.5,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,-,涡轮增压,-,-
发动机,发动机布局,横置,横置,横置,-,-,-,横置,横置,-,横置,-,-
发动机,气缸排列形式,L,L,L,-,-,-,L,L,-,L,-,-
发动机,气缸数(个),4,4,4,-,-,-,4,4,-,4,-,-
发动机,每缸气门数(个),4,4,4,-,-,-,4,4,-,4,-,-
发动机,配气机构,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,-,DOHC,-,-
发动机,最大马力(Ps),160,160,160,-,-,-,160,160,-,160,-,-
发动机,最大功率(kW),118,118,118,-,-,-,118,118,-,118,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),115,115,115,-,-,-,115,115,-,115,-,-
发动机,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,纯电动,增程式,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,-,-,-,92号,92号,-,92号,-,-
发动机,供油方式,直喷,直喷,直喷,-,-,-,直喷,直喷,-,直喷,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,-,铝合金,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,-,铝合金,-,-
发动机,环保标准,国VI,国VI,国VI,-,-,-,国VI,国VI,-,国VI,-,-
电动机,后电动机品牌,-,-,-,华为技术,华为技术,华为技术,-,-,华为技术,-,华为技术,华为技术
电动机,前电动机型号,-,-,-,-,YS210XYA03,YS210XYA03,-,-,-,-,YS210XYA03,YS210XYA03
电动机,后电动机型号,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYA03,TZ210XYA03,TZ210XYA03,TZ210XYAP4,TZ210XYAP4,TZ210XYA03,TZ210XYAP4,TZ210XYA03,TZ210XYA03
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),227,227,227,227,385,385,227,227,227,227,385,385
电动机,电动机总马力(Ps),309,309,309,309,524,524,309,309,309,309,524,524
电动机,电动机总扭矩(N·m),320,320,320,396,673,673,320,320,396,320,673,673
电动机,前电动机最大功率(kW),-,-,-,-,158,158,-,-,-,-,158,158
电动机,前电动机最大扭矩(N·m),-,-,-,-,277,277,-,-,-,-,277,277
电动机,后电动机最大功率(kW),227,227,227,227,227,227,227,227,227,227,227,227
电动机,后电动机最大扭矩(N·m),320,320,320,396,396,396,320,320,396,320,396,396
电动机,驱动电机数,单电机,单电机,单电机,单电机,双电机,双电机,单电机,单电机,单电机,单电机,双电机,双电机
电动机,电机布局,后置,后置,后置,后置,前置+后置,前置+后置,后置,后置,后置,后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(江苏时代),● 宁德时代(四川时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代)
电池/充电,电池特有技术,-,-,-,巨鲸电池,巨鲸电池,巨鲸电池,-,-,巨鲸电池,-,巨鲸电池,巨鲸电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),208,292,292,-,-,-,208,292,-,292,-,-
电池/充电,CLTC纯电续航里程(km),260,372,372,816,721,721,260,372,816,372,721,721
电池/充电,WLTC综合续航(km),1108,1192,1192,-,-,-,1108,1192,-,1192,-,-
电池/充电,CLTC综合续航(km),1275,1378,1378,-,-,-,1275,1378,-,1378,-,-
电池/充电,电池能量(kWh),37,53.4,53.4,100,100,100,37,53.4,100,53.4,100,100
电池/充电,百公里耗电量(kWh/100km),18.1,18.1,18.1,13.2,14.9,14.9,18.1,18.1,13.2,18.1,14.9,14.9
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,-,-,-,支持,支持,支持,-,-,支持,-,支持,支持
电池/充电,高压平台（V）,-,-,-,800,800,800,-,-,800,-,800,800
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,30-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,-,● 电动四驱,● 电动四驱,-,-,-,-,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)","● 245/45 R20
○ 255/40 R21 (1.50万元)
○ 255/45 R20 (6000元)"
车轮制动,后轮胎规格,"● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20"
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,"● 11个
○ 13个",● 11个,● 11个,"● 11个
○ 13个",● 11个,● 11个,● 11个,"● 11个
○ 13个",● 11个,"● 11个
○ 13个"
驾驶硬件,车内摄像头数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达品牌,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为
驾驶硬件,激光雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个
驾驶硬件,激光雷达线数,● 896线,● 896线,● 896线,● 896线,● 896线,● 896线,● 192线,● 192线,● 192线,● 192线,● 192线,● 192线
驾驶硬件,激光雷达10%反射率探测距离,-,-,-,-,-,-,● 180米,● 180米,● 180米,● 180米,● 180米,● 180米
驾驶硬件,激光雷达点云数量,-,-,-,-,-,-,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒
驾驶硬件,前方最大探测距离,-,-,-,-,-,-,● 250米,● 250米,● 250米,● 250米,● 250米,● 250米
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,○,○,○,○,○,○,○,○,○,○,○,○
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,自动开合车门,○ (2.00万元),○ (2.00万元),●,○ (2.00万元),○ (2.00万元),●,○ (2.00万元),○ (2.00万元),○ (2.00万元),●,○ (2.00万元),●
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,-,-,-,●,●,-,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
