セクション,項目,奥迪A6L e-tron 2026款 长续航版,奥迪A6L e-tron 2026款 首发乾崑智驾版,奥迪A6L e-tron 2026款 超长续航版,奥迪A6L e-tron 2026款 quattro 乾崑智驾版
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),215,260,265,405
电动机,电动机总马力(Ps),292,354,360,551
电动机,电动机总扭矩(N·m),460,540,515,779
电动机,前电动机最大功率(kW),-,-,-,135
电动机,前电动机最大扭矩(N·m),-,-,-,249
电动机,后电动机最大功率(kW),215,260,265,270
电动机,后电动机最大扭矩(N·m),460,540,515,530
电动机,驱动电机数,单电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,后置,前置+后置
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 弗迪,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),720,745,815,721
电池/充电,电池能量(kWh),95,107,107,107
电池/充电,电池能量密度(Wh/kg),143.5,172.9,172.9,172.9
电池/充电,百公里耗电量(kWh/100km),14,15.1,13.8,15.6
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,快充功率(kW),270,270,270,270
电池/充电,高压快充,支持,支持,支持,支持
电池/充电,高压平台（V）,800,800,800,800
电池/充电,电池快充时间(小时),0.42,0.35,0.35,0.35
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,● 电动四驱
底盘转向,前悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 225/55 R19
○ 235/45 R20 (1.10万元)",● 235/45 R20,● 235/45 R20,● 245/40 R21
车轮制动,后轮胎规格,"● 245/50 R19
○ 265/40 R20",● 265/40 R20,● 265/40 R20,● 275/35 R21
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ○ (2500元),前 ● /后 ○ (2500元),前 ● /后 ○ (2500元),前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,被动行人保护,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,"● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,-,-,-,●
驾驶操控,可变转向比,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,○,●
驾驶硬件,前方感知摄像头,● 单目,● 三目,● 单目,● 三目
驾驶硬件,摄像头数量,"● 5个
○ 7个","● 12个
○ 14个","● 5个
○ 7个",● 14个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达品牌,-,● HUAWEI华为,-,● HUAWEI华为
驾驶硬件,激光雷达数量,-,● 2个,-,● 2个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● 华为乾崑智驾,-,● 华为乾崑智驾
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,-,●,○,●
驾驶功能,记忆泊车,-,●,○,●
驾驶功能,循迹倒车,-,●,○,●
驾驶功能,辅助变道,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,○,●
驾驶功能,信号灯识别,-,●,○,●
驾驶功能,起步提醒,-,●,○,●
驾驶功能,辅助驾驶路段,-,"● 城市路段
● 高速路段","○ 城市路段
○ 高速路段","● 城市路段
● 高速路段"
外观/防盗,外观套件,○ 运动风格 (10000元),○ 运动风格 (10000元),○ 运动风格 (10000元),○ 运动风格 (10000元)
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,光感天幕,●,●,●,●
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目",-
外后视镜,电子外后视镜功能,○ (1.38万元),○ (1.38万元),○ (1.38万元),●
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.5英寸,● 14.5英寸,● 14.5英寸,● 14.5英寸
互联/智能化,中控屏幕类型,● OLED,● OLED,● OLED,● OLED
互联/智能化,副驾娱乐屏尺寸,● 10.9英寸,● 10.9英寸,● 10.9英寸,● 10.9英寸
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗"
互联/智能化,语音助手唤醒词,● 你好，奥迪,● 你好，奥迪,● 你好，奥迪,● 你好，奥迪
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●
互联/智能化,可见即可说,●,●,●,●
互联/智能化,面部识别,●,●,●,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,模拟声浪,●,●,●,●
互联/智能化,车载KTV,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,"● 手动上下+前后调节
○ 电动上下+前后调节 (3500元)",● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (1000元),○ (1000元),○ (1000元),○ (1000元)
方向盘/内后视镜,方向盘记忆,○,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 11.9英寸,● 11.9英寸,● 11.9英寸,● 11.9英寸
方向盘/内后视镜,仪表盘屏幕材质,● OLED,● OLED,● OLED,● OLED
方向盘/内后视镜,AR-HUD增强现实抬头显示,-,●,●,●
方向盘/内后视镜,HUD抬头尺寸,-,● 88英寸,● 88英寸,● 88英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (1500元),○ (1500元),○ (1500元),○ (1500元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
○ 按摩 (7000元)
○ 头枕扬声器","● 加热
● 通风
● 按摩
○ 头枕扬声器","● 加热
● 通风
● 按摩
○ 头枕扬声器","● 加热
● 通风
● 按摩
● 头枕扬声器"
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,●,●,●
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,第二排座椅功能,○ 加热,○ 加热,○ 加热,○ 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Bang & Olufsen,○ Bang & Olufsen,○ Bang & Olufsen,● Bang & Olufsen
音响/车内灯光,扬声器数量,"○ 20喇叭 (1.15万元)
● 待查","○ 20喇叭 (1.15万元)
● 待查","○ 20喇叭 (1.15万元)
● 待查",● 20喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●
空调/冰箱,后排独立空调,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,负离子发生器,○ (3000元),○ (3000元),○ (3000元),●
空调/冰箱,空气质量监测,●,●,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,冬季舒适包,○ 选配 (4000元),○ 选配 (4000元),○ 选配 (4000元),○ 选配 (4000元)
选装包,黑光包套件,○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元)
选装包,辅助驾驶包,-,-,○ 选配 (38800元),-
