セクション,項目,星途ES 2025款 增程 Plus 舒适智享,星途ES 2025款 增程 Pro 高速辅助驾驶,星途ES 2025款 增程 Max 城区辅助驾驶,星途ES 2025款 增程 Ultra 四驱旗舰,星途ES 2025款 纯电 乐享版 64kWh,星途ES 2025款 纯电 尊享版 70kWh,星途ES 2025款 纯电 Pro 高速辅助驾驶,星途ES 2025款 纯电 Max 城区辅助驾驶,星途ES 2025款 纯电 Pro 77kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 77kWh,星途ES 2025款 纯电 Pro 100kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 100kWh,星途ES 2025款 纯电 至臻尊享版 77kWh,星途ES 2025款 纯电 富道版 77kWh,星途ES 2025款 纯电 Pro四驱 77kWh,星途ES 2025款 纯电 Pro四驱 100kWh,星途ES 2025款 纯电 Ultra四驱旗舰 城区辅助驾驶,星途ES 2025款 纯电 Ultra旗舰 100kWh,星途ES 2027款 纯电 860 Max激光雷达版,星途ES 2027款 增程 302 Max激光雷达版,星途ES 2027款 增程 255 Ultra四驱激光雷达版
基本参数,WLTC综合油耗(L/100km),0.47,0.47,0.47,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,0.62
基本参数,最低荷电状态油耗(L/100km)WLTC,4.9,4.9,4.9,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.1,5.7
基本参数,电能当量燃料消耗量(L/100km),1.91,1.91,1.91,2.28,-,-,1.40,1.40,1.44,1.44,1.40,1.40,1.44,1.44,1.65,1.67,1.73,1.73,1.44,-,-
基本参数,油电综合燃料消耗量(L/100km),2.37,2.37,2.37,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.54,2.9
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2080,2080,2080,2285,1870,1975,2080,2080,2080,2080,2040,2040,2080,2080,2210,2250,2250,2250,2050,2135,2285
基本参数,最大满载质量(kg),2548,2548,2548,2701,-,2375,2495,2495,2495,2495,2455,2455,2495,2495,2625,2660,2660,2660,2480,2600,2701
车身,长度(mm),4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945
车身,宽度(mm),1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978
车身,高度(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1467,1467,1480,1480,1480
车身,轴距(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
车身,前轮距(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
车身,后轮距(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
车身,满载最小离地间隙(mm),120,120,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,空载最小离地间隙(mm),-,-,-,-,123,123,123,123,123,123,123,123,123,123,123,123,132,132,-,-,-
车身,接近角(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
车身,离去角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
车身,最小转弯半径(m),5.88,5.88,5.88,5.88,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.88,5.88
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),67,67,67,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,67
车身,后备厢容积(L),396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500
车身,风阻系数(Cd),0.23,0.23,0.23,0.23,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.23,0.23
发动机,发动机型号,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SQRH4J15,SQRH4J15
发动机,排量(mL),1499,1499,1499,1499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横置,横置
发动机,气缸排列形式,L,L,L,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,L
发动机,气缸数(个),4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
发动机,每缸气门数(个),4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
发动机,压缩比,14.5,14.5,14.5,14.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.5,14.5
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DOHC,DOHC
发动机,缸径(mm),72,72,72,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,72
发动机,行程(mm),92,92,92,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,92
