セクション,項目,豹5 2025款 125KM 天神智驾Max版,豹5 2025款 125KM 天神智驾Ultra版,豹5 2025款 210KM 天神Ultra版,豹5 2025款 210KM 云辇天神Ultra版,豹5 2025款 210KM 乾崑Ultra版,豹5 2025款 210KM 云辇乾崑Ultra+版,豹5 2025款 激光乾崑智驾版,豹5 2025款 云辇激光乾崑智驾版
,厂商指导价(元),23.98万 计算器,25.98万 计算器,26.98万 计算器,27.98万 计算器,29.48万 计算器,32.98万 计算器,28.48万 计算器,32.98万 计算器
,经销商报价,23.98万起,25.98万起,26.98万起,27.98万起,29.48万起,32.98万起,28.48万起,32.98万起
基本参数,厂商,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025-02-21,2025-02-21,2025-10-20,2025-10-20,2025-10-20,2025-10-20,2025-02-21,2025-02-21
基本参数,WLTC纯电续航里程(km),100,100,160,160,160,160,100,100
基本参数,CLTC纯电续航里程(km),125,125,210,210,210,210,125,125
基本参数,电池快充时间(小时),0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.27
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),505,505,505,505,505,505,505,505
基本参数,最大扭矩(N·m),760,760,760,760,760,760,760,760
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4
基本参数,电动机(Ps),660,660,660,660,660,660,660,660
基本参数,长*宽*高(mm),4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920,4890*1970*1920
基本参数,官方0-100km/h加速(s),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.79,1.79,1.23,1.23,1.23,1.23,1.79,1.79
基本参数,最低荷电状态油耗(L/100km)WLTC,8.85,8.85,8.43,8.43,8.43,8.43,8.85,8.85
基本参数,油电综合燃料消耗量(L/100km),4.52,4.52,4.14,4.14,4.14,4.14,4.52,4.52
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2998,2998,2950,3040,2950,3040,2998,2998
基本参数,最大满载质量(kg),3373,3373,3450,3490,3450,3490,3373,3373
基本参数,准拖挂车总质量(kg),2500,2500,2500,2500,2500,2500,2500,2500
车身,长度(mm),4890,4890,4890,4890,4890,4890,4890,4890
车身,宽度(mm),1970,1970,1970,1970,1970,1970,1970,1970
车身,高度(mm),1920,1920,1920,1920,1920,1920,1920,1920
车身,轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800
车身,前轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660
车身,后轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660
车身,满载最小离地间隙(mm),220,220,220,310,220,310,220,310
车身,接近角(°),35,35,35,35,35,35,35,39
车身,离去角(°),32,32,31,31,31,31,32,35
车身,纵向通过角(°),20,20,20,20,20,20,20,20
车身,最大涉水深度(mm),700,700,700,790,700,790,700,790
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),83,83,83,83,83,83,83,83
车身,后备厢容积(L),-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF
发动机,排量(mL),1497,1497,1497,1497,1497,1497,1497,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),194,194,194,194,194,194,194,194
发动机,最大功率(kW),143,143,143,143,143,143,143,143
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),273,273,273,273,273,273,273,273
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-
发动机,最大净功率(kW),135,135,135,135,135,135,135,135
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB
电动机,后电动机型号,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),485,485,485,485,485,485,485,485
电动机,电动机总马力(Ps),660,660,660,660,660,660,660,660
电动机,电动机总扭矩(N·m),760,760,760,760,760,760,760,760
电动机,前电动机最大功率(kW),200,200,200,200,200,200,200,200
电动机,前电动机最大扭矩(N·m),360,360,360,360,360,360,360,360
电动机,后电动机最大功率(kW),285,285,285,285,285,285,285,285
电动机,后电动机最大扭矩(N·m),400,400,400,400,400,400,400,400
电动机,系统综合功率(kW),505,505,505,505,505,505,505,505
电动机,系统综合马力(Ps),687,687,687,687,687,687,687,687
电动机,系统综合扭矩(N·m),760,760,760,760,760,760,760,760
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),100,100,160,160,160,160,100,100
电池/充电,CLTC纯电续航里程(km),125,125,210,210,210,210,125,125
电池/充电,NEDC综合续航(km),1200,1200,-,-,-,-,1200,1200
电池/充电,电池能量(kWh),31.8,31.8,47.8,47.8,47.8,47.8,31.8,31.8
电池/充电,百公里耗电量(kWh/100km),23.5,23.5,25.1,25.1,25.1,25.1,23.5,23.5
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),100,100,150,150,150,150,100,100
电池/充电,电池快充时间(小时),0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.27
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)","● 265/65 R18
○ 275/55 R20 (10000元)"
车轮制动,后轮胎规格,"● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20"
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,-,-,●,●,●,●,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,● 全车,● 全车,● 全车,● 全车,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化"
驾驶操控,发动机启停技术,-,-,●,●,●,●,-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,"● 悬架软硬调节
● 悬架高低调节",-,"● 悬架软硬调节
● 悬架高低调节",-,"● 悬架软硬调节
● 悬架高低调节"
驾驶操控,拖挂模式,●,●,●,●,●,●,●,●
四驱/越野,中央差速器锁止功能,●,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,"○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁"
四驱/越野,涉水感应系统,●,●,●,●,●,●,●,●
四驱/越野,低速四驱,●,●,●,●,●,●,●,●
四驱/越野,蠕行模式,●,●,●,●,●,●,●,●
四驱/越野,坦克转弯,●,●,●,●,●,●,●,●
四驱/越野,拖挂钩,○ 手动 (4000元),○ 手动 (4000元),○ 手动,○ 手动,○ 手动,○ 手动,○ 手动 (4000元),○ 手动 (4000元)
四驱/越野,拖车取电口,○,○,○,○,○,○,○,○
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,-,-,-,-
驾驶硬件,芯片总算力,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,-,-,-,-
驾驶硬件,前方感知摄像头,● 三目,● 三目,● 三目,● 三目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 12个,● 12个,● 11个,● 11个,● 11个,● 12个,● 11个,● 12个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,-,-,-,-,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为
驾驶硬件,激光雷达数量,-,-,-,-,● 1个,● 1个,● 1个,● 1个
驾驶硬件,激光雷达线数,-,-,-,-,● 192线,● 192线,● 192线,● 192线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS,● 华为乾崑智驾ADS
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 高德,● 高德,● 华为Petal,● 华为Petal
驾驶功能,并线辅助,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●
