rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,星愿,Geely Xingyuan,27362,2.0,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.88-8.78万,/autohome_images/001_星愿.png,吉利银河,Geely Galaxy（吉利銀河）
2,Model Y,モデルY,25286,18.0,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-31.35万,./images/by_series/5769_29287643.png,特斯拉,Tesla
3,小米YU7,YU7,20196,-2.0,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,./images/by_series/7793_8e1156a4.png,小米汽车,Xiaomi（小米）
4,博越L,Boyue L,19363,-2.0,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,./images/by_series/6814_232d3619.png,吉利汽车,Geely（吉利）
5,朗逸,ラヴィーダ (Lavida),16111,3.0,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,./images/by_series/614_14f7438d.png,大众,Volkswagen
6,理想i6,Li Xiang i6,16007,13.0,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,./images/by_series/8183_54dc76da.png,理想汽车,Li Auto
7,长安CS75PLUS,CS75 Plus,14219,20.0,https://www.autohome.com.cn/5179/#pvareaid=6861512,10.89-14.39万,./images/by_series/5179_00cc24d5.png,长安,長安
8,帕萨特,パサート (Passat),13988,2.0,https://www.autohome.com.cn/528/#pvareaid=6861512,16.45-30.98万,./images/by_series/528_d809c87e.png,大众,Volkswagen
9,速腾,サギター (Sagitar),13803,-4.0,https://www.autohome.com.cn/442/#pvareaid=6861512,9.38-16.49万,./images/by_series/442_fffabf8a.png,大众,Volkswagen
10,瑞虎8,Tiggo 8,13488,14.0,https://www.autohome.com.cn/4693/#pvareaid=6861512,10.99-12.99万,./images/by_series/4693_5ef737a0.png,奇瑞,Chery（奇瑞）
11,Model 3,モデル3,12920,197.0,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,./images/by_series/5346_3379b3ea.png,特斯拉,Tesla
12,途观L,ティグアンL (Tiguan L),12477,-3.0,https://www.autohome.com.cn/4274/#pvareaid=6861512,18.68-26.68万,./images/by_series/4274_39847c63.png,大众,Volkswagen
13,星瑞,Preface,12411,,https://www.autohome.com.cn/5273/#pvareaid=6861512,9.87-14.67万,./images/by_series/5273_bbec9062.png,吉利汽车,Geely（吉利）
14,艾瑞泽8,Arrizo 8,12130,21.0,https://www.autohome.com.cn/6664/#pvareaid=6861512,9.99-14.89万,./images/by_series/6664_d2ad5f28.png,奇瑞,Chery（奇瑞）
15,锋兰达,フロントランダー,12043,,https://www.autohome.com.cn/6414/#pvareaid=6861512,13.28-17.28万,./images/by_series/6414_b149dd8b.png,丰田,トヨタ
16,钛7,レオパード7 (Leopard 7),11693,2.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_b4f4db30.png,方程豹,Fangchengbao（方程豹）
17,蔚来ES8,NIO ES8,11260,-1.0,https://www.autohome.com.cn/4427/#pvareaid=6861512,40.68-45.68万,./images/by_series/4427_fc798676.png,蔚来,NIO（蔚来）
18,迈腾,マゴタン (Magotan),11232,-6.0,https://www.autohome.com.cn/496/#pvareaid=6861512,17.49-24.69万,./images/by_series/496_6cb28c0a.png,大众,Volkswagen
19,凯美瑞,カムリ,11172,-2.0,https://www.autohome.com.cn/110/#pvareaid=6861512,17.18-25.98万,./images/by_series/110_9fe9828c.png,丰田,トヨタ
20,逸动,Eado,11118,9.0,https://www.autohome.com.cn/2429/#pvareaid=6861512,7.29-9.99万,./images/by_series/2429_4fdfc92f.png,长安,長安
21,探岳,タイロン (Tayron),11084,1.0,https://www.autohome.com.cn/4744/#pvareaid=6861512,19.89-25.99万,./images/by_series/4744_746b217e.png,大众,Volkswagen
22,帝豪,Geely Emgrand,10505,-1.0,https://www.autohome.com.cn/3556/#pvareaid=6861512,6.29-9.19万,./images/by_series/3556_5bf02951.png,吉利汽车,Geely（吉利）
23,星越L,Monjaro,10144,-16.0,https://www.autohome.com.cn/6004/#pvareaid=6861512,13.97-17.97万,./images/by_series/6004_aef1d886.png,吉利汽车,Geely（吉利）
24,问界M7,Wenjie M7,10093,-20.0,https://www.autohome.com.cn/6643/#pvareaid=6861512,24.98-38.98万,./images/by_series/6643_17dcbdeb.png,AITO 问界,AITO（問界）
25,本田CR-V,CR-V,10089,-11.0,https://www.autohome.com.cn/314/#pvareaid=6861512,18.59-24.99万,./images/by_series/314_0aee31f9.png,本田,ホンダ
26,宝马3系,3シリーズ,9459,,https://www.autohome.com.cn/66/#pvareaid=6861512,25.80-33.80万,./images/by_series/66_42d48ffb.png,宝马,BMW
27,宋Pro新能源,Sealion 5 DM-i,9295,21.0,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,./images/by_series/5279_6b583f23.png,比亚迪,BYD
28,轩逸,シルフィ,8998,-22.0,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,./images/by_series/448_1c5dc236.png,日产,日産
29,奔驰E级,Eクラス,8583,7.0,https://www.autohome.com.cn/197/#pvareaid=6861512,37.88-59.98万,./images/by_series/197_101e5d1c.png,奔驰,Mercedes-Benz
30,红旗H5,H5,7973,-7.0,https://www.autohome.com.cn/4410/#pvareaid=6861512,15.98-21.58万,./images/by_series/4410_30103952.png,红旗,紅旗
31,RAV4荣放,RAV4,7789,6.0,https://www.autohome.com.cn/770/#pvareaid=6861512,16.98-23.88万,./images/by_series/770_aebec05a.png,丰田,トヨタ
32,奥迪A6L,A6L,7749,-7.0,https://www.autohome.com.cn/18/#pvareaid=6861512,32.29-55.89万,./images/by_series/18_41287a14.png,奥迪,Audi
33,奥迪Q5L,Q5L,7745,-5.0,https://www.autohome.com.cn/4851/#pvareaid=6861512,30.98-39.98万,./images/by_series/4851_eeb1b11e.png,奥迪,Audi
34,途岳,トゥアレ (Tharu),7403,-1.0,https://www.autohome.com.cn/4745/#pvareaid=6861512,12.59-21.66万,./images/by_series/4745_2e242b08.png,大众,Volkswagen
35,卡罗拉锐放,カローラクロス,7395,-24.0,https://www.autohome.com.cn/6428/#pvareaid=6861512,12.68-18.48万,./images/by_series/6428_aae9086a.png,丰田,トヨタ
36,宝马5系,5シリーズ,7247,-2.0,https://www.autohome.com.cn/65/#pvareaid=6861512,36.80-44.80万,./images/by_series/65_b36d38a9.png,宝马,BMW
37,长安X5 PLUS,X5 Plus,6964,4.0,https://www.autohome.com.cn/7552/#pvareaid=6861512,6.99-10.39万,./images/by_series/7552_cee67d18.png,长安,長安
38,海豹06,シール06 (Seal 06),6856,33.0,https://www.autohome.com.cn/7588/#pvareaid=6861512,9.68-13.98万,./images/by_series/7588_ab6bcab0.png,比亚迪,BYD
39,缤越,Coolray,6834,6.0,https://www.autohome.com.cn/4701/#pvareaid=6861512,6.68-9.78万,./images/by_series/4701_02971080.png,吉利汽车,Geely（吉利）
40,昂科威Plus,Envision Plus,6506,-8.0,https://www.autohome.com.cn/3554/#pvareaid=6861512,22.99-25.99万,./images/by_series/3554_82d5d9db.png,别克,Buick
41,奔驰GLC,GLC,6430,10.0,https://www.autohome.com.cn/3862/#pvareaid=6861512,35.18-46.28万,./images/by_series/3862_4dc3db90.png,奔驰,Mercedes-Benz
42,海狮06,シーライオン06 (Sealion 06),6287,15.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,13.98-19.98万,./images/by_series/8087_a74f42d8.png,比亚迪,BYD
43,哈弗大狗,Big Dog,6281,-5.0,https://www.autohome.com.cn/5770/#pvareaid=6861512,12.39-14.99万,./images/by_series/5770_5257bc62.png,哈弗,Haval（哈弗）
44,秦PLUS,Qin PLUS,6098,9.0,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,./images/by_series/5964_f0d2ce56.png,比亚迪,BYD
45,海豚,ドルフィン (Dolphin),6081,30.0,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,./images/by_series/6139_57696108.png,比亚迪,BYD
46,深蓝S05,Deepal S05,5932,31.0,https://www.autohome.com.cn/7740/#pvareaid=6861512,11.99-14.99万,./images/by_series/7740_dcfc21fd.png,深蓝汽车,Deepal（深藍）
47,海鸥,シーガル (Seagull),5856,31.0,https://www.autohome.com.cn/6762/#pvareaid=6861512,6.98-8.59万,./images/by_series/6762_304bc195.png,比亚迪,BYD
48,宝马X3,X3,5583,-4.0,,31.80-39.80万,/autohome_images/048_宝马X3.png,,
49,秦L,Qin L,5450,23.0,,9.68-15.38万,/autohome_images/049_秦L.png,,
50,缤果S,Binguo S,5448,16.0,,6.68-8.98万,/autohome_images/050_缤果S.png,,
51,宝马X5,X5,5283,-5.0,,59.80-74.80万,/autohome_images/051_宝马X5.png,,
52,元UP,Atto 2,5235,30.0,https://www.autohome.com.cn/7578/#pvareaid=6861512,7.48-11.98万,./images/by_series/7578_fdb899f6.png,比亚迪,BYD
53,赛那SIENNA,シエナ,5086,-10.0,https://www.autohome.com.cn/6272/#pvareaid=6861512,29.98-39.38万,./images/by_series/6272_c7f60705.png,丰田,トヨタ
54,银河A7 EM,Galaxy A7 EM,5059,14.0,https://www.autohome.com.cn/8158/#pvareaid=6861512,8.98-13.18万,./images/by_series/8158_9a46172a.png,吉利银河,Geely Galaxy（吉利銀河）
55,银河M9,Galaxy M9,5043,4.0,https://www.autohome.com.cn/7165/#pvareaid=6861512,18.38-26.98万,./images/by_series/7165_9f8a33f5.png,吉利银河,Geely Galaxy（吉利銀河）
56,卡罗拉,カローラ,5004,11.0,https://www.autohome.com.cn/526/#pvareaid=6861512,11.68-15.58万,./images/by_series/526_00475b55.png,丰田,トヨタ
57,零跑C10,C10,4967,39.0,https://www.autohome.com.cn/7382/#pvareaid=6861512,12.28-14.28万,./images/by_series/7382_b8d8ee10.png,零跑汽车,Leapmotor
58,亚洲龙,アバロン,4963,-27.0,https://www.autohome.com.cn/4962/#pvareaid=6861512,17.88-25.68万,./images/by_series/4962_3f11ec49.png,丰田,トヨタ
59,理想L6,L6,4900,30.0,https://www.autohome.com.cn/6950/#pvareaid=6861512,24.98-27.98万,./images/by_series/6950_2d37dda3.png,理想汽车,Li Auto
60,威兰达,ウィランダー,4886,37.0,https://www.autohome.com.cn/5472/#pvareaid=6861512,16.98-23.08万,./images/by_series/5472_962ab92f.png,丰田,トヨタ
61,极氪9X,Zeekr 9X,4878,-3.0,https://www.autohome.com.cn/7835/#pvareaid=6861512,46.59-59.99万,./images/by_series/7835_df7221ff.png,极氪,Zeekr（极氪）
62,宏光MINIEV,ウーリンMINIEV,4866,-10.0,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,./images/by_series/5714_edb5c2a7.png,五菱汽车,Wuling（五菱）
63,宝来,Bora,4741,2.0,https://www.autohome.com.cn/633/#pvareaid=6861512,8.29-11.39万,./images/by_series/633_16c748f6.png,大众,Volkswagen
64,雅阁,アコード,4630,-34.0,https://www.autohome.com.cn/78/#pvareaid=6861512,17.98-23.88万,./images/by_series/78_cb6c81c5.png,本田,ホンダ
65,星光560,Xingguang 560,4628,37.0,https://www.autohome.com.cn/8217/#pvareaid=6861512,6.28-7.58万,./images/by_series/8217_83bd75e5.png,五菱汽车,Wuling（五菱）
66,长安CS55PLUS,CS55 PLUS,4623,19.0,https://www.autohome.com.cn/5498/#pvareaid=6861512,9.29-11.39万,./images/by_series/5498_fdc320b1.png,长安,長安
67,瑞虎9,Tiggo 9,4592,6.0,https://www.autohome.com.cn/7072/#pvareaid=6861512,14.79-20.99万,./images/by_series/7072_a6af04ef.png,奇瑞,Chery（奇瑞）
68,汉兰达,ハイランダー,4503,-21.0,https://www.autohome.com.cn/771/#pvareaid=6861512,24.98-32.58万,./images/by_series/771_8530e9a0.png,丰田,トヨタ
69,极氪7X,Zeekr 7X,4486,-9.0,https://www.autohome.com.cn/7777/#pvareaid=6861512,22.98-26.98万,./images/by_series/7777_005b766e.png,极氪,Zeekr（极氪）
70,传祺GS3,GS3,4406,-30.0,https://www.autohome.com.cn/3495/#pvareaid=6861512,7.98-9.98万,./images/by_series/3495_649cdfaf.png,广汽传祺,GAC Trumpchi（広汽伝祺）
71,小鹏MONA M03,MONA M03,4373,-16.0,https://www.autohome.com.cn/6998/#pvareaid=6861512,11.98-15.18万,./images/by_series/6998_c30bf1ac.png,小鹏,Xpeng
72,魏牌 高山,Gaoshan,4369,-16.0,https://www.autohome.com.cn/7076/#pvareaid=6861512,27.28-35.38万,./images/by_series/7076_f28d5471.png,魏牌,WEY（魏牌）
73,荣威i5,i5,4163,-4.0,https://www.autohome.com.cn/4869/#pvareaid=6861512,6.89-12.58万,./images/by_series/4869_a1bcce1c.png,荣威,Roewe（栄威）
74,MG4,MG4,4086,-35.0,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,./images/by_series/6651_b983bc42.png,名爵,MG（名爵）
75,问界M8,AITO M8,3992,-26.0,https://www.autohome.com.cn/8003/#pvareaid=6861512,35.98-45.98万,./images/by_series/8003_2e550323.png,AITO 问界,AITO（問界）
76,岚图梦想家,Lantu Dreamer,3980,46.0,https://www.autohome.com.cn/6459/#pvareaid=6861512,30.99-70.99万,./images/by_series/6459_f46dc587.png,岚图汽车,Lantu（岚图汽车）
77,奥迪A3,A3,3952,-3.0,https://www.autohome.com.cn/3170/#pvareaid=6861512,16.59-20.99万,./images/by_series/3170_38faeff7.png,奥迪,Audi
78,长安启源Q05,Qiyuan Q05,3852,25.0,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,./images/by_series/8241_eea76be0.png,长安启源,長安啓源
79,宋L DM-i,Song L DM-i,3741,33.0,https://www.autohome.com.cn/7815/#pvareaid=6861512,13.58-17.58万,./images/by_series/7815_feee8fe3.png,比亚迪,BYD
80,红旗HS5,HS5,3723,19.0,https://www.autohome.com.cn/5048/#pvareaid=6861512,18.38-24.98万,./images/by_series/5048_85eed69b.png,红旗,紅旗
