rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,Model Y,モデルY,39827,1,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-31.35万,./images/by_series/5769_9bc90886.png,特斯拉,Tesla
2,星愿,Geely Xingyuan,30953,-1,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.88-8.78万,./images/by_series/7806_dbfff6a4.png,吉利银河,Geely Galaxy（吉利銀河）
3,轩逸,シルフィ,28093,25,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,./images/by_series/448_1c5dc236.png,日产,日産
4,理想i6,Li Xiang i6,24198,2,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,./images/by_series/8183_54dc76da.png,理想汽车,Li Auto
5,元UP,Atto 2,21538,47,https://www.autohome.com.cn/7538/#pvareaid=6861512,7.48-11.98万,./images/by_series/7538_fdb899f6.png,比亚迪,BYD
6,朗逸,ラヴィーダ (Lavida),19939,-1,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,./images/by_series/614_14f7438d.png,大众,Volkswagen
7,海狮06,シーライオン06 (Sealion 06),18237,35,https://www.autohome.com.cn/8087/#pvareaid=6861512,13.98-19.98万,./images/by_series/8087_a74f42d8.png,比亚迪,BYD
8,博越L,Boyue L,17402,-4,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,./images/by_series/6814_232d3619.png,吉利汽车,Geely（吉利）
9,海豚,ドルフィン (Dolphin),17291,36,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,./images/by_series/6139_57696108.png,比亚迪,BYD
10,凯美瑞,カムリ,17069,9,https://www.autohome.com.cn/110/#pvareaid=6861512,17.18-25.98万,./images/by_series/110_9fe9828c.png,丰田,トヨタ
11,速腾,サギター (Sagitar),16891,-2,https://www.autohome.com.cn/442/#pvareaid=6861512,9.38-16.49万,./images/by_series/442_fffabf8a.png,大众,Volkswagen
12,宏光MINIEV,ウーリンMINIEV,16806,50,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,./images/by_series/5714_148c34d5.png,五菱汽车,Wuling（五菱）
13,Model 3,モデル3,16280,-2,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,./images/by_series/5346_3379b3ea.png,特斯拉,Tesla
14,蔚来ES8,NIO ES8,16255,3,https://www.autohome.com.cn/4427/#pvareaid=6861512,40.68-45.68万,./images/by_series/4427_fc798676.png,蔚来,NIO（蔚来）
15,帕萨特,パサート (Passat),16067,-7,https://www.autohome.com.cn/528/#pvareaid=6861512,16.45-30.98万,./images/by_series/528_d809c87e.png,大众,Volkswagen
16,探岳,タイロン (Tayron),15897,5,https://www.autohome.com.cn/4744/#pvareaid=6861512,19.89-25.99万,./images/by_series/4744_746b217e.png,大众,Volkswagen
17,锋兰达,フロントランダー,15470,-2,https://www.autohome.com.cn/6414/#pvareaid=6861512,13.28-17.28万,./images/by_series/6414_b149dd8b.png,丰田,トヨタ
18,秦PLUS,Qin PLUS,15363,26,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,./images/by_series/5964_f86cbe91.png,比亚迪,BYD
19,RAV4荣放,RAV4,14662,12,https://www.autohome.com.cn/770/#pvareaid=6861512,16.98-23.88万,./images/by_series/770_aebec05a.png,丰田,トヨタ
20,途观L,ティグアンL (Tiguan L),14581,-8,https://www.autohome.com.cn/4274/#pvareaid=6861512,18.68-26.68万,./images/by_series/4274_39847c63.png,大众,Volkswagen
21,奔驰GLC,GLC,14550,20,https://www.autohome.com.cn/3862/#pvareaid=6861512,35.18-46.28万,./images/by_series/3862_4dc3db90.png,奔驰,Mercedes-Benz
22,奔驰E级,Eクラス,14545,7,https://www.autohome.com.cn/197/#pvareaid=6861512,37.88-59.98万,./images/by_series/197_6484f170.png,奔驰,Mercedes-Benz
23,海鸥,シーガル (Seagull),14409,24,https://www.autohome.com.cn/6762/#pvareaid=6861512,6.98-8.59万,./images/by_series/6762_6b61a486.png,比亚迪,BYD
24,钛7,レオパード7 (Leopard 7),14187,-8,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_b4f4db30.png,方程豹,Fangchengbao（方程豹）
25,深蓝S05,Deepal S05,14069,21,https://www.autohome.com.cn/7740/#pvareaid=6861512,11.99-14.99万,./images/by_series/7740_dcfc21fd.png,深蓝汽车,Deepal（深藍）
26,宋Pro新能源,Sealion 5 DM-i,14043,1,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,./images/by_series/5279_6b583f23.png,比亚迪,BYD
27,MG4,MG4,14007,47,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,./images/by_series/6651_b983bc42.png,名爵,MG（名爵）
28,海豹06,シール06 (Seal 06),13912,10,https://www.autohome.com.cn/7588/#pvareaid=6861512,9.68-13.98万,./images/by_series/7588_ab6bcab0.png,比亚迪,BYD
29,长安CS75PLUS,CS75 Plus,13802,-22,https://www.autohome.com.cn/5179/#pvareaid=6861512,10.89-14.39万,./images/by_series/5179_464fd9c9.png,长安,長安
30,小米YU7,YU7,13558,-27,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,./images/by_series/7793_8e1156a4.png,小米汽车,Xiaomi（小米）
31,卡罗拉锐放,カローラクロス,13555,4,https://www.autohome.com.cn/6428/#pvareaid=6861512,12.68-18.48万,./images/by_series/6428_aae9086a.png,丰田,トヨタ
32,迈腾,マゴタン (Magotan),13048,-14,https://www.autohome.com.cn/496/#pvareaid=6861512,17.49-24.69万,./images/by_series/496_5ac1491c.png,大众,Volkswagen
33,星越L,Monjaro,12940,-10,https://www.autohome.com.cn/6004/#pvareaid=6861512,13.97-17.97万,./images/by_series/6004_aef1d886.png,吉利汽车,Geely（吉利）
34,昂科威Plus,Envision Plus,12755,6,https://www.autohome.com.cn/3554/#pvareaid=6861512,22.99-25.99万,./images/by_series/3554_5674c06a.png,别克,Buick
35,哈弗大狗,Big Dog,12645,8,https://www.autohome.com.cn/5770/#pvareaid=6861512,12.39-14.99万,./images/by_series/5770_5257bc62.png,哈弗,Haval（哈弗）
36,长安启源Q05,Qiyuan Q05,12602,42,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,./images/by_series/8241_eea76be0.png,长安启源,長安啓源
37,缤越,Coolray,12218,2,https://www.autohome.com.cn/4701/#pvareaid=6861512,6.68-9.78万,./images/by_series/4701_02971080.png,吉利汽车,Geely（吉利）
38,秦L,Qin L,12156,11,https://www.autohome.com.cn/7578/#pvareaid=6861512,9.68-15.38万,./images/by_series/7578_a18a8044.png,比亚迪,BYD
39,宝马3系,3シリーズ,11953,-13,https://www.autohome.com.cn/66/#pvareaid=6861512,25.80-33.80万,./images/by_series/66_42d48ffb.png,宝马,BMW
40,逸动,Eado,11212,-20,https://www.autohome.com.cn/2429/#pvareaid=6861512,7.29-9.99万,./images/by_series/2429_30ad1140.png,长安,長安
41,零跑C10,C10,10992,16,https://www.autohome.com.cn/7382/#pvareaid=6861512,12.28-14.28万,./images/by_series/7382_b8d8ee10.png,零跑汽车,Leapmotor
42,星瑞,Preface,10982,-29,https://www.autohome.com.cn/5273/#pvareaid=6861512,9.87-14.67万,./images/by_series/5273_199554b9.png,吉利汽车,Geely（吉利）
43,AION i60,AION i60,10838,64,https://www.autohome.com.cn/8245/#pvareaid=6861512,10.28-13.58万,./images/by_series/8245_363be78a.png,埃安,Aion（埃安）
44,亚洲龙,アバロン,10700,14,https://www.autohome.com.cn/4962/#pvareaid=6861512,17.88-25.68万,./images/by_series/4962_3f11ec49.png,丰田,トヨタ
45,奥迪A6L,A6L,10591,-13,https://www.autohome.com.cn/18/#pvareaid=6861512,32.29-55.89万,./images/by_series/18_41287a14.png,奥迪,Audi
46,缤果S,Binguo S,10556,4,https://www.autohome.com.cn/8189/#pvareaid=6861512,6.68-8.98万,./images/by_series/8189_66c04414.png,五菱汽车,Wuling（五菱）
47,本田CR-V,CR-V,10433,-22,https://www.autohome.com.cn/314/#pvareaid=6861512,18.59-24.99万,./images/by_series/314_0aee31f9.png,本田,ホンダ
48,极氪9X,Zeekr 9X,10060,13,https://www.autohome.com.cn/7835/#pvareaid=6861512,46.59-59.99万,./images/by_series/7835_df7221ff.png,极氪,Zeekr（极氪）
49,奥迪Q5L,Q5L,9698,-16,https://www.autohome.com.cn/4851/#pvareaid=6861512,30.98-39.98万,./images/by_series/4851_eeb1b11e.png,奥迪,Audi
50,长安UNI-Z新能源,UNI-Z,9507,59,https://www.autohome.com.cn/7512/#pvareaid=6861512,11.79-13.59万,./images/by_series/7512_10f7ea98.png,长安,長安
51,红旗H5,H5,9376,-21,https://www.autohome.com.cn/4410/#pvareaid=6861512,15.98-21.58万,./images/by_series/4410_2f16de82.png,红旗,紅旗
52,瑞虎8,Tiggo 8,9334,-42,https://www.autohome.com.cn/4693/#pvareaid=6861512,10.99-12.99万,./images/by_series/4693_5ef737a0.png,奇瑞,Chery（奇瑞）
53,小鹏MONA M03,MONA M03,9306,18,https://www.autohome.com.cn/6998/#pvareaid=6861512,11.98-15.18万,./images/by_series/6998_c30bf1ac.png,小鹏,Xpeng
54,帝豪,Geely Emgrand,9278,-32,https://www.autohome.com.cn/3556/#pvareaid=6861512,6.29-9.19万,./images/by_series/3556_5bf02951.png,吉利汽车,Geely（吉利）
55,威兰达,ウィランダー,9247,5,https://www.autohome.com.cn/5472/#pvareaid=6861512,16.98-23.08万,./images/by_series/5472_962ab92f.png,丰田,トヨタ
56,长安X5 PLUS,X5 Plus,9075,-19,https://www.autohome.com.cn/7552/#pvareaid=6861512,6.99-10.39万,./images/by_series/7552_cee67d18.png,长安,長安
57,极狐T1,ARCFOX T1,8729,41,https://www.autohome.com.cn/8086/#pvareaid=6861512,6.28-13.08万,./images/by_series/8086_cce9c858.png,ARCFOX极狐,ARCFOX（極狐）
58,问界M7,Wenjie M7,8383,-34,https://www.autohome.com.cn/6643/#pvareaid=6861512,24.98-38.98万,./images/by_series/6643_17dcbdeb.png,AITO 问界,AITO（問界）
59,卡罗拉,カローラ,8216,-3,https://www.autohome.com.cn/526/#pvareaid=6861512,11.68-15.58万,./images/by_series/526_00475b55.png,丰田,トヨタ
60,途岳,トゥアレ (Tharu),8198,-26,https://www.autohome.com.cn/4745/#pvareaid=6861512,12.59-21.66万,./images/by_series/4745_2e242b08.png,大众,Volkswagen
61,理想L6,L6,8130,-2,https://www.autohome.com.cn/6950/#pvareaid=6861512,24.98-27.98万,./images/by_series/6950_2d37dda3.png,理想汽车,Li Auto
62,AION Y,AION Y,8076,133,https://www.autohome.com.cn/5976/#pvareaid=6861512,9.98-14.58万,./images/by_series/5976_f69d7e7a.png,埃安,Aion（埃安）
