rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,Model Y,モデルY,65874,1.0,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-31.35万,./images/by_series/5769_9bc90886.png,特斯拉,Tesla
2,秦PLUS,Qin PLUS,46837,3.0,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,./images/by_series/5964_f0d2ce56.png,比亚迪,BYD
3,小米YU7,YU7,39089,3.0,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,./images/by_series/7793_8e1156a4.png,小米汽车,Xiaomi（小米）
4,星愿,Geely Xingyuan,36147,-1.0,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.88-8.78万,./images/by_series/7806_dbfff6a4.png,吉利银河,Geely Galaxy（吉利銀河）
5,钛7,レオパード7 (Leopard 7),34086,7.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_b4f4db30.png,方程豹,Fangchengbao（方程豹）
6,问界M7,Wenjie M7,29368,4.0,https://www.autohome.com.cn/6643/#pvareaid=6861512,24.98-38.98万,./images/by_series/6643_17dcbdeb.png,AITO 问界,AITO（問界）
7,宏光MINIEV,ウーリンMINIEV,29365,-6.0,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,./images/by_series/5714_148c34d5.png,五菱汽车,Wuling（五菱）
8,Model 3,モデル3,27969,1.0,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,./images/by_series/5346_3379b3ea.png,特斯拉,Tesla
9,海狮06,シーライオン06 (Sealion 06),24380,2.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,13.98-19.98万,./images/by_series/8087_a74f42d8.png,比亚迪,BYD
10,轩逸,シルフィ,23964,-6.0,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,./images/by_series/448_1c5dc236.png,日产,日産
11,卡罗拉锐放,カローラクロス,22956,22.0,https://www.autohome.com.cn/6428/#pvareaid=6861512,12.68-18.48万,./images/by_series/6428_aae9086a.png,丰田,トヨタ
12,蔚来ES8,NIO ES8,22258,49.0,https://www.autohome.com.cn/4427/#pvareaid=6861512,40.68-45.68万,./images/by_series/4427_fc798676.png,蔚来,NIO（蔚来）
