rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
1,448,轩逸,シルフィ,23964,7.99-17.49万,https://www.autohome.com.cn/448/#pvareaid=6861512,./images/by_series/448_5123687f.png,https://www.autohome.com.cn/448/#pvareaid=6861512,日产,日産
2,6428,卡罗拉锐放,カローラクロス,22956,12.68-18.48万,https://www.autohome.com.cn/6428/#pvareaid=6861512,./images/by_series/6428_aae9086a.png,https://www.autohome.com.cn/6428/#pvareaid=6861512,丰田,トヨタ
3,614,朗逸,ラヴィーダ (Lavida),22181,8.00-15.19万,https://www.autohome.com.cn/614/#pvareaid=6861512,./images/by_series/614_14f7438d.png,https://www.autohome.com.cn/614/#pvareaid=6861512,大众,Volkswagen
4,442,速腾,サギター (Sagitar),21543,9.38-16.49万,https://www.autohome.com.cn/442/#pvareaid=6861512,./images/by_series/442_93fe3843.png,https://www.autohome.com.cn/442/#pvareaid=6861512,大众,Volkswagen
5,528,帕萨特,パサート (Passat),19816,16.45-30.98万,https://www.autohome.com.cn/528/#pvareaid=6861512,./images/by_series/528_92a2cd4c.png,https://www.autohome.com.cn/528/#pvareaid=6861512,大众,Volkswagen
6,110,凯美瑞,カムリ,19653,17.18-25.98万,https://www.autohome.com.cn/110/#pvareaid=6861512,./images/by_series/110_8e3ee47e.png,https://www.autohome.com.cn/110/#pvareaid=6861512,丰田,トヨタ
7,4274,途观L,ティグアンL (Tiguan L),19557,18.68-26.68万,https://www.autohome.com.cn/4274/#pvareaid=6861512,./images/by_series/4274_39847c63.png,https://www.autohome.com.cn/4274/#pvareaid=6861512,大众,Volkswagen
8,18,奥迪A6L,A6L,19138,32.29-55.89万,https://www.autohome.com.cn/18/#pvareaid=6861512,./images/by_series/18_41287a14.png,https://www.autohome.com.cn/18/#pvareaid=6861512,奥迪,Audi
9,6414,锋兰达,フロントランダー,19083,13.28-17.28万,https://www.autohome.com.cn/6414/#pvareaid=6861512,./images/by_series/6414_b149dd8b.png,https://www.autohome.com.cn/6414/#pvareaid=6861512,丰田,トヨタ
10,78,雅阁,アコード,18960,17.98-23.88万,https://www.autohome.com.cn/78/#pvareaid=6861512,./images/by_series/78_cb6c81c5.png,https://www.autohome.com.cn/78/#pvareaid=6861512,本田,ホンダ
11,496,迈腾,マゴタン (Magotan),18133,17.49-24.69万,https://www.autohome.com.cn/496/#pvareaid=6861512,./images/by_series/496_5ac1491c.png,https://www.autohome.com.cn/496/#pvareaid=6861512,大众,Volkswagen
12,314,本田CR-V,CR-V,17524,18.59-24.99万,https://www.autohome.com.cn/314/#pvareaid=6861512,./images/by_series/314_0aee31f9.png,https://www.autohome.com.cn/314/#pvareaid=6861512,本田,ホンダ
13,4744,探岳,タイロン (Tayron),15300,19.89-25.99万,https://www.autohome.com.cn/4744/#pvareaid=6861512,./images/by_series/4744_746b217e.png,https://www.autohome.com.cn/4744/#pvareaid=6861512,大众,Volkswagen
14,4962,亚洲龙,アバロン,15252,17.88-25.68万,https://www.autohome.com.cn/4962/#pvareaid=6861512,./images/by_series/4962_3f11ec49.png,https://www.autohome.com.cn/4962/#pvareaid=6861512,丰田,トヨタ
15,4851,奥迪Q5L,Q5L,13973,30.98-39.98万,https://www.autohome.com.cn/4851/#pvareaid=6861512,./images/by_series/4851_eeb1b11e.png,https://www.autohome.com.cn/4851/#pvareaid=6861512,奥迪,Audi
16,66,宝马3系,3シリーズ,13608,25.80-33.80万,https://www.autohome.com.cn/66/#pvareaid=6861512,./images/by_series/66_42d48ffb.png,https://www.autohome.com.cn/66/#pvareaid=6861512,宝马,BMW
17,3862,奔驰GLC,GLC,13430,35.18-46.28万,https://www.autohome.com.cn/3862/#pvareaid=6861512,./images/by_series/3862_9e5b5e4e.png,https://www.autohome.com.cn/3862/#pvareaid=6861512,奔驰,Mercedes-Benz
18,197,奔驰E级,Eクラス,13177,37.88-59.98万,https://www.autohome.com.cn/197/#pvareaid=6861512,./images/by_series/197_101e5d1c.png,https://www.autohome.com.cn/197/#pvareaid=6861512,奔驰,Mercedes-Benz
19,4745,途岳,トゥアレ (Tharu),12795,12.59-21.66万,https://www.autohome.com.cn/4745/#pvareaid=6861512,./images/by_series/4745_2e242b08.png,https://www.autohome.com.cn/4745/#pvareaid=6861512,大众,Volkswagen
20,65,宝马5系,5シリーズ,11867,36.80-44.80万,https://www.autohome.com.cn/65/#pvareaid=6861512,./images/by_series/65_b36d38a9.png,https://www.autohome.com.cn/65/#pvareaid=6861512,宝马,BMW
21,5393,皓影,ブリーズ,11674,13.79-26.39万,https://www.autohome.com.cn/5393/#pvareaid=6861512,./images/by_series/5393_17d6451b.png,https://www.autohome.com.cn/5393/#pvareaid=6861512,本田,ホンダ
22,3554,昂科威Plus,Envision Plus,10867,22.99-25.99万,https://www.autohome.com.cn/3554/#pvareaid=6861512,./images/by_series/3554_5674c06a.png,https://www.autohome.com.cn/3554/#pvareaid=6861512,别克,Buick
23,588,奔驰C级,Cクラス,9644,29.99-34.56万,https://www.autohome.com.cn/588/#pvareaid=6861512,./images/by_series/588_7509f242.png,https://www.autohome.com.cn/588/#pvareaid=6861512,奔驰,Mercedes-Benz
24,6672,格瑞维亚,グランビア,9359,29.98-41.68万,https://www.autohome.com.cn/6672/#pvareaid=6861512,./images/by_series/6672_3348e7e3.png,https://www.autohome.com.cn/6672/#pvareaid=6861512,丰田,トヨタ
25,6272,赛那SIENNA,シエナ,9358,29.98-39.38万,https://www.autohome.com.cn/6272/#pvareaid=6861512,./images/by_series/6272_c7f60705.png,https://www.autohome.com.cn/6272/#pvareaid=6861512,丰田,トヨタ
26,771,汉兰达,ハイランダー,8493,24.98-32.58万,https://www.autohome.com.cn/771/#pvareaid=6861512,./images/by_series/771_f881759b.png,https://www.autohome.com.cn/771/#pvareaid=6861512,丰田,トヨタ
27,6030,皇冠陆放,クラウンクルーガー,8388,28.48-33.28万,https://www.autohome.com.cn/6030/#pvareaid=6861512,./images/by_series/6030_5b8c5f0d.png,https://www.autohome.com.cn/6030/#pvareaid=6861512,丰田,トヨタ
28,770,RAV4荣放,RAV4,8063,16.98-23.88万,https://www.autohome.com.cn/770/#pvareaid=6861512,./images/by_series/770_fa38d088.png,https://www.autohome.com.cn/770/#pvareaid=6861512,丰田,トヨタ
29,7855,奥迪A5L,A5L,8057,25.58-34.68万,https://www.autohome.com.cn/7855/#pvareaid=6861512,./images/by_series/7855_f1028a48.png,https://www.autohome.com.cn/7855/#pvareaid=6861512,奥迪,Audi
30,6548,宝马X5,X5,7603,59.80-74.80万,https://www.autohome.com.cn/6548/#pvareaid=6861512,./images/by_series/6548_26178c20.png,https://www.autohome.com.cn/6548/#pvareaid=6861512,宝马,BMW
31,634,天籁,ティアナ,7494,13.99-23.98万,https://www.autohome.com.cn/634/#pvareaid=6861512,./images/by_series/634_0a4c7356.png,https://www.autohome.com.cn/634/#pvareaid=6861512,日产,日産
32,4658,宝马X3,X3,7417,31.80-39.80万,https://www.autohome.com.cn/4658/#pvareaid=6861512,./images/by_series/4658_e45bfe63.png,https://www.autohome.com.cn/4658/#pvareaid=6861512,宝马,BMW
33,7712,铂智3X,bZ3X,7219,10.98-15.98万,https://www.autohome.com.cn/7712/#pvareaid=6861512,./images/by_series/7712_17b0f5a9.png,https://www.autohome.com.cn/7712/#pvareaid=6861512,丰田,トヨタ
34,51,伊兰特,エラントラ (Elantra),7158,9.98-14.98万,https://www.autohome.com.cn/51/#pvareaid=6861512,./images/by_series/51_c241b74c.png,https://www.autohome.com.cn/51/#pvareaid=6861512,现代,Hyundai
35,3170,奥迪A3,A3,7095,16.59-20.99万,https://www.autohome.com.cn/3170/#pvareaid=6861512,./images/by_series/3170_38faeff7.png,https://www.autohome.com.cn/3170/#pvareaid=6861512,奥迪,Audi
36,8243,日产N6,N6,6822,10.39-12.99万,https://www.autohome.com.cn/8243/#pvareaid=6861512,./images/by_series/8243_e22eae7e.png,https://www.autohome.com.cn/8243/#pvareaid=6861512,日产,日産
37,633,宝来,Bora,6518,8.29-11.39万,https://www.autohome.com.cn/633/#pvareaid=6861512,./images/by_series/633_16c748f6.png,https://www.autohome.com.cn/633/#pvareaid=6861512,大众,Volkswagen
38,692,奥迪A4L,A4L,6034,28.98-36.28万,https://www.autohome.com.cn/692/#pvareaid=6861512,./images/by_series/692_69056be7.png,https://www.autohome.com.cn/692/#pvareaid=6861512,奥迪,Audi
