rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,Model Y,モデルY,38654,1.0,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-31.35万,/autohome_images/001_Model_Y.png,特斯拉,Tesla
2,星愿,Geely Xingyuan,33359,-1.0,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.48-9.48万,/autohome_images/002_星愿.png,吉利银河,Geely Galaxy（吉利銀河）
3,零跑A10,Leapmotor A10,24865,1.0,https://www.autohome.com.cn/8433/#pvareaid=6861512,6.58-8.68万,./images/by_series/8433_1b68dcfe.png,零跑汽车,Leapmotor
4,理想i6,Li Xiang i6,21453,1.0,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,./images/by_series/8183_54dc76da.png,理想汽车,Li Auto
5,小米SU7,SU7,20414,-2.0,https://www.autohome.com.cn/6962/#pvareaid=6861512,21.99-30.39万,./images/by_series/6962_1077f967.png,小米汽车,Xiaomi（小米）
6,钛7,レオパード7 (Leopard 7),19710,4.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_b4f4db30.png,方程豹,Fangchengbao（方程豹）
7,长安启源Q05,Qiyuan Q05,18908,5.0,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,./images/by_series/8241_eea76be0.png,长安启源,長安啓源
8,元UP,Atto 2,17945,3.0,https://www.autohome.com.cn/7538/#pvareaid=6861512,7.48-11.98万,./images/by_series/7538_76760b8a.png,比亚迪,BYD
9,宋Pro新能源,Sealion 5 DM-i,17439,4.0,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,./images/by_series/5279_6b583f23.png,比亚迪,BYD
10,凯美瑞,カムリ,17114,14.0,https://www.autohome.com.cn/110/#pvareaid=6861512,17.18-25.98万,./images/by_series/110_9fe9828c.png,丰田,トヨタ
11,海狮06,シーライオン06 (Sealion 06),16843,-5.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,12.99-19.98万,./images/by_series/8087_a74f42d8.png,比亚迪,BYD
12,朗逸,ラヴィーダ (Lavida),15444,6.0,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,./images/by_series/614_14f7438d.png,大众,Volkswagen
13,星越L,Monjaro,15220,15.0,https://www.autohome.com.cn/6004/#pvareaid=6861512,13.97-17.97万,./images/by_series/6004_aef1d886.png,吉利汽车,Geely（吉利）
14,零跑C10,C10,15097,46.0,https://www.autohome.com.cn/7382/#pvareaid=6861512,12.28-14.28万,./images/by_series/7382_bb96cd11.png,零跑汽车,Leapmotor
15,博越L,Boyue L,14970,2.0,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,./images/by_series/6814_232d3619.png,吉利汽车,Geely（吉利）
16,MG4,MG4,14397,-2.0,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,./images/by_series/6651_b983bc42.png,名爵,MG（名爵）
17,小米YU7,YU7,14324,27.0,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,./images/by_series/7793_8e1156a4.png,小米汽车,Xiaomi（小米）
18,Model 3,モデル3,14266,-11.0,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,./images/by_series/5346_740915a0.png,特斯拉,Tesla
19,小鹏MONA M03,MONA M03,14160,-4.0,https://www.autohome.com.cn/6998/#pvareaid=6861512,11.98-15.18万,./images/by_series/6998_c30bf1ac.png,小鹏,Xpeng
20,缤果Pro,Binggo Pro,14154,-4.0,https://www.autohome.com.cn/8585/#pvareaid=6861512,5.68-7.08万,./images/by_series/8585_2188a0ec.png,五菱汽车,Wuling（五菱）
21,RAV4荣放,RAV4,13798,15.0,https://www.autohome.com.cn/770/#pvareaid=6861512,16.98-22.88万,/autohome_images/021_RAV4荣放.png,丰田,トヨタ
22,秦PLUS,Qin PLUS,13726,-3.0,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,/autohome_images/022_秦PLUS.png,比亚迪,BYD
23,海豚,ドルフィン (Dolphin),13005,-1.0,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,/autohome_images/023_海豚.png,比亚迪,BYD
24,迈腾,マゴタン (Magotan),12896,1.0,https://www.autohome.com.cn/496/#pvareaid=6861512,17.49-24.69万,/autohome_images/024_迈腾.png,大众,Volkswagen
25,帕萨特,パサート (Passat),12862,5.0,https://www.autohome.com.cn/528/#pvareaid=6861512,16.45-30.98万,/autohome_images/025_帕萨特.png,大众,Volkswagen
26,途观L,ティグアンL (Tiguan L),12806,-3.0,https://www.autohome.com.cn/4274/#pvareaid=6861512,18.68-26.68万,/autohome_images/026_途观L.png,大众,Volkswagen
27,宏光MINIEV,ウーリンMINIEV,12457,-19.0,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,/autohome_images/027_宏光MINIEV.png,五菱汽车,Wuling（五菱）
28,深蓝S05,Deepal S05,12228,4.0,https://www.autohome.com.cn/7740/#pvareaid=6861512,11.99-14.99万,/autohome_images/028_深蓝S05.png,深蓝汽车,Deepal（深藍）
29,长安CS75PLUS,CS75 Plus,11682,4.0,https://www.autohome.com.cn/5179/#pvareaid=6861512,10.89-14.39万,./images/by_series/5179_2607a593.png,长安,長安
30,探岳,タイロン (Tayron),11664,-3.0,https://www.autohome.com.cn/4744/#pvareaid=6861512,19.89-25.99万,./images/by_series/4744_746b217e.png,大众,Volkswagen
31,宋Ultra,Song Ultra,11423,4.0,https://www.autohome.com.cn/8511/#pvareaid=6861512,12.99-17.99万,./images/by_series/8511_7351cb25.png,比亚迪,BYD
32,缤越,Coolray,11310,-11.0,https://www.autohome.com.cn/4701/#pvareaid=6861512,6.68-9.78万,./images/by_series/4701_02971080.png,吉利汽车,Geely（吉利）
33,海狮05 DM-i,Haima 05 DM-i,11270,21.0,https://www.autohome.com.cn/7807/#pvareaid=6861512,9.79-14.28万,./images/by_series/7807_039414c6.png,比亚迪,BYD
34,威兰达,ウィランダー,11040,15.0,https://www.autohome.com.cn/5472/#pvareaid=6861512,16.98-23.08万,./images/by_series/5472_962ab92f.png,丰田,トヨタ
