rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,星愿,Geely Xingyuan,38751,,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.48-9.48万,/autohome_images/001_星愿.png,吉利银河,Geely Galaxy（吉利銀河）
2,Model Y,モデルY,28911,1.0,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-31.35万,./images/by_series/5769_29287643.png,特斯拉,Tesla
3,小米SU7,SU7,24023,-1.0,https://www.autohome.com.cn/6962/#pvareaid=6861512,21.99-30.39万,./images/by_series/6962_1077f967.png,小米汽车,Xiaomi（小米）
4,零跑A10,Leapmotor A10,22306,5.0,https://www.autohome.com.cn/8433/#pvareaid=6861512,6.58-8.68万,./images/by_series/8433_1b68dcfe.png,零跑汽车,Leapmotor
5,理想i6,Li Xiang i6,20878,-1.0,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,./images/by_series/8183_54dc76da.png,理想汽车,Li Auto
6,海狮06,シーライオン06 (Sealion 06),18856,-1.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,12.99-19.98万,./images/by_series/8087_a74f42d8.png,比亚迪,BYD
7,Model 3,モデル3,18370,131.0,https://www.autohome.com.cn/5346/#pvareaid=6861512,23.55-33.95万,./images/by_series/5346_3379b3ea.png,特斯拉,Tesla
8,宏光MINIEV,ウーリンMINIEV,18308,6.0,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,./images/by_series/5714_148c34d5.png,五菱汽车,Wuling（五菱）
9,问界M6,AITO M6,18148,102.0,https://www.autohome.com.cn/8529/#pvareaid=6861512,25.98-29.98万,./images/by_series/8529_dfb2b265.png,AITO 问界,AITO（問界）
10,钛7,レオパード7 (Leopard 7),17510,1.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_b4f4db30.png,方程豹,Fangchengbao（方程豹）
11,元UP,Atto 2,17043,-4.0,https://www.autohome.com.cn/7538/#pvareaid=6861512,7.48-11.98万,./images/by_series/7538_fdb899f6.png,比亚迪,BYD
12,长安启源Q05,Qiyuan Q05,15954,-6.0,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,./images/by_series/8241_eea76be0.png,长安启源,長安啓源
13,宋Pro新能源,Sealion 5 DM-i,15497,5.0,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,./images/by_series/5279_6b583f23.png,比亚迪,BYD
14,MG4,MG4,15067,2.0,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,./images/by_series/6651_b983bc42.png,名爵,MG（名爵）
15,小鹏MONA M03,MONA M03,14160,-2.0,https://www.autohome.com.cn/6998/#pvareaid=6861512,11.98-15.18万,./images/by_series/6998_c30bf1ac.png,小鹏,Xpeng
16,缤果Pro,Bingguo Pro,13657,,https://www.autohome.com.cn/8585/#pvareaid=6861512,5.68-7.08万,./images/by_series/8585_2188a0ec.png,五菱汽车,Wuling（五菱）
17,博越L,Boyue L,13395,4.0,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,./images/by_series/6814_232d3619.png,吉利汽车,Geely（吉利）
18,朗逸,ラヴィーダ (Lavida),13033,1.0,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,./images/by_series/614_1df4af70.png,大众,Volkswagen
19,秦PLUS,Qin PLUS,12971,-4.0,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,./images/by_series/5964_f0d2ce56.png,比亚迪,BYD
20,轩逸,シルフィ,12936,5.0,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,./images/by_series/448_1c5dc236.png,日产,日産
21,缤越,Coolray,12841,-13.0,https://www.autohome.com.cn/4701/#pvareaid=6861512,6.68-9.78万,./images/by_series/4701_d019c112.png,吉利汽车,Geely（吉利）
22,海豚,ドルフィン (Dolphin),12819,-12.0,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,./images/by_series/6139_57696108.png,比亚迪,BYD
23,途观L,ティグアンL (Tiguan L),12503,16.0,https://www.autohome.com.cn/4274/#pvareaid=6861512,18.68-26.68万,./images/by_series/4274_39847c63.png,大众,Volkswagen
24,凯美瑞,カムリ,12237,-2.0,https://www.autohome.com.cn/110/#pvareaid=6861512,17.18-25.98万,./images/by_series/110_9fe9828c.png,丰田,トヨタ
25,迈腾,マゴタン (Magotan),12170,22.0,https://www.autohome.com.cn/496/#pvareaid=6861512,17.49-24.69万,./images/by_series/496_5ac1491c.png,大众,Volkswagen
26,蔚来ES8,NIO ES8,11472,-9.0,https://www.autohome.com.cn/4427/#pvareaid=6861512,40.68-44.68万,./images/by_series/4427_fc798676.png,蔚来,NIO（蔚来）
27,探岳,タイロン (Tayron),11425,32.0,https://www.autohome.com.cn/4744/#pvareaid=6861512,19.89-25.99万,./images/by_series/4744_746b217e.png,大众,Volkswagen
28,星越L,Monjaro,11099,13.0,https://www.autohome.com.cn/6004/#pvareaid=6861512,13.97-17.97万,./images/by_series/6004_aef1d886.png,吉利汽车,Geely（吉利）
29,本田CR-V,CR-V,10744,19.0,https://www.autohome.com.cn/314/#pvareaid=6861512,18.59-24.99万,./images/by_series/314_1491427f.png,本田,ホンダ
30,帕萨特,パサート (Passat),10727,16.0,https://www.autohome.com.cn/528/#pvareaid=6861512,16.45-30.98万,./images/by_series/528_d809c87e.png,大众,Volkswagen
31,锋兰达,フロントランダー,10725,-8.0,https://www.autohome.com.cn/6414/#pvareaid=6861512,13.28-17.28万,./images/by_series/6414_b149dd8b.png,丰田,トヨタ
32,深蓝S05,Deepal S05,10594,-20.0,https://www.autohome.com.cn/7740/#pvareaid=6861512,11.99-14.99万,./images/by_series/7740_dcfc21fd.png,深蓝汽车,Deepal（深藍）
33,长安CS75PLUS,CS75 Plus,10103,9.0,https://www.autohome.com.cn/5179/#pvareaid=6861512,10.89-14.39万,./images/by_series/5179_00cc24d5.png,长安,長安
34,秦L,Qin L,10019,-6.0,https://www.autohome.com.cn/7578/#pvareaid=6861512,9.68-15.38万,./images/by_series/7578_a18a8044.png,比亚迪,BYD
