rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,星愿,Geely Xingyuan,34727,1.0,https://www.autohome.com.cn/7806/#pvareaid=6861512,6.48-9.48万,./images/by_series/7806_8b6617d4.png,吉利银河,Geely Galaxy（吉利銀河）
2,小米SU7,SU7,26826,63.0,https://www.autohome.com.cn/6962/#pvareaid=6861512,21.99-30.39万,./images/by_series/6962_1077f967.png,小米汽车,Xiaomi（小米）
3,Model Y,モデルY,22990,-2.0,https://www.autohome.com.cn/5769/#pvareaid=6861512,26.35-31.35万,./images/by_series/5769_29287643.png,特斯拉,Tesla
4,理想i6,Li Xiang i6,21024,,https://www.autohome.com.cn/8183/#pvareaid=6861512,24.98-26.98万,./images/by_series/8183_54dc76da.png,理想汽车,Li Auto
5,海狮06,シーライオン06 (Sealion 06),19649,2.0,https://www.autohome.com.cn/8087/#pvareaid=6861512,12.99-19.98万,./images/by_series/8087_a74f42d8.png,比亚迪,BYD
6,长安启源Q05,Qiyuan Q05,15814,30.0,https://www.autohome.com.cn/8241/#pvareaid=6861512,7.99-11.49万,./images/by_series/8241_eea76be0.png,长安启源,長安啓源
7,元UP,Atto 2,15658,-2.0,https://www.autohome.com.cn/7538/#pvareaid=6861512,7.48-11.98万,./images/by_series/7538_fdb899f6.png,比亚迪,BYD
8,缤越,Coolray,14923,29.0,https://www.autohome.com.cn/4701/#pvareaid=6861512,6.68-9.78万,./images/by_series/4701_d019c112.png,吉利汽车,Geely（吉利）
9,零跑A10,Leapmotor A10,14372,116.0,https://www.autohome.com.cn/8433/#pvareaid=6861512,6.58-8.68万,./images/by_series/8433_1b68dcfe.png,零跑汽车,Leapmotor
10,海豚,ドルフィン (Dolphin),14218,-1.0,https://www.autohome.com.cn/6139/#pvareaid=6861512,9.98-12.98万,./images/by_series/6139_57696108.png,比亚迪,BYD
11,钛7,レオパード7 (Leopard 7),14201,13.0,https://www.autohome.com.cn/8171/#pvareaid=6861512,17.98-23.98万,./images/by_series/8171_b4f4db30.png,方程豹,Fangchengbao（方程豹）
12,深蓝S05,Deepal S05,13722,13.0,https://www.autohome.com.cn/7740/#pvareaid=6861512,11.99-14.99万,./images/by_series/7740_dcfc21fd.png,深蓝汽车,Deepal（深藍）
13,小鹏MONA M03,MONA M03,13595,40.0,https://www.autohome.com.cn/6998/#pvareaid=6861512,11.98-15.18万,./images/by_series/6998_c30bf1ac.png,小鹏,Xpeng
14,宏光MINIEV,ウーリンMINIEV,13229,-2.0,https://www.autohome.com.cn/5714/#pvareaid=6861512,3.58-5.58万,./images/by_series/5714_148c34d5.png,五菱汽车,Wuling（五菱）
15,秦PLUS,Qin PLUS,13228,3.0,https://www.autohome.com.cn/5964/#pvareaid=6861512,7.98-17.98万,./images/by_series/5964_f0d2ce56.png,比亚迪,BYD
16,MG4,MG4,13189,11.0,https://www.autohome.com.cn/6651/#pvareaid=6861512,6.88-10.28万,./images/by_series/6651_b983bc42.png,名爵,MG（名爵）
17,蔚来ES8,NIO ES8,13020,-3.0,https://www.autohome.com.cn/4427/#pvareaid=6861512,40.68-45.68万,./images/by_series/4427_fc798676.png,蔚来,NIO（蔚来）
18,宋Pro新能源,Sealion 5 DM-i,12543,8.0,https://www.autohome.com.cn/5279/#pvareaid=6861512,10.28-13.38万,./images/by_series/5279_4c680b4e.png,比亚迪,BYD
19,朗逸,ラヴィーダ (Lavida),12457,-13.0,https://www.autohome.com.cn/614/#pvareaid=6861512,8.00-15.19万,./images/by_series/614_14f7438d.png,大众,Volkswagen
20,RAV4荣放,RAV4,11452,-1.0,https://www.autohome.com.cn/770/#pvareaid=6861512,16.98-22.88万,./images/by_series/770_aebec05a.png,丰田,トヨタ
21,博越L,Boyue L,11315,-13.0,https://www.autohome.com.cn/6814/#pvareaid=6861512,9.99-12.99万,./images/by_series/6814_232d3619.png,吉利汽车,Geely（吉利）
22,凯美瑞,カムリ,10963,-12.0,https://www.autohome.com.cn/110/#pvareaid=6861512,17.18-25.98万,./images/by_series/110_9fe9828c.png,丰田,トヨタ
23,锋兰达,フロントランダー,10876,-6.0,https://www.autohome.com.cn/6414/#pvareaid=6861512,13.28-17.28万,./images/by_series/6414_b149dd8b.png,丰田,トヨタ
24,零跑C10,C10,10728,17.0,https://www.autohome.com.cn/7382/#pvareaid=6861512,12.28-14.28万,./images/by_series/7382_b8d8ee10.png,零跑汽车,Leapmotor
25,轩逸,シルフィ,10564,-22.0,https://www.autohome.com.cn/448/#pvareaid=6861512,7.99-17.49万,./images/by_series/448_1c5dc236.png,日产,日産
26,海豹06,シール06 (Seal 06),10254,2.0,https://www.autohome.com.cn/7588/#pvareaid=6861512,9.68-13.98万,./images/by_series/7588_ab6bcab0.png,比亚迪,BYD
27,哈弗大狗,Big Dog,10226,8.0,https://www.autohome.com.cn/5770/#pvareaid=6861512,12.39-14.99万,./images/by_series/5770_5257bc62.png,哈弗,Haval（哈弗）
28,秦L,Qin L,10171,10.0,https://www.autohome.com.cn/7578/#pvareaid=6861512,9.68-15.38万,./images/by_series/7578_a18a8044.png,比亚迪,BYD
29,铂智3X,bZ3X,10027,35.0,https://www.autohome.com.cn/7712/#pvareaid=6861512,10.98-15.98万,./images/by_series/7712_9d4da439.png,丰田,トヨタ
30,奔驰C级,Cクラス,9950,33.0,https://www.autohome.com.cn/588/#pvareaid=6861512,29.99-34.56万,./images/by_series/588_7509f242.png,奔驰,Mercedes-Benz
31,小米YU7,YU7,9876,-1.0,https://www.autohome.com.cn/7793/#pvareaid=6861512,23.35-38.99万,./images/by_series/7793_8e1156a4.png,小米汽车,Xiaomi（小米）
32,海鸥,シーガル (Seagull),9864,-9.0,https://www.autohome.com.cn/6762/#pvareaid=6861512,6.98-8.59万,./images/by_series/6762_304bc195.png,比亚迪,BYD
33,速腾,サギター (Sagitar),9806,-22.0,https://www.autohome.com.cn/442/#pvareaid=6861512,9.38-16.49万,./images/by_series/442_fffabf8a.png,大众,Volkswagen
34,AION i60,AION i60,9711,9.0,https://www.autohome.com.cn/8245/#pvareaid=6861512,10.28-13.58万,./images/by_series/8245_363be78a.png,埃安,Aiways（埃安）
35,奥迪A6L,A6L,9449,10.0,https://www.autohome.com.cn/18/#pvareaid=6861512,32.29-55.89万,./images/by_series/18_41287a14.png,奥迪,Audi
