セクション,項目,极石01 2024款 全能7座标准续航版,极石01 2024款 尊享6座标准续航版,极石01 2024款 全能7座长续航版,极石01 2024款 尊享6座长续航版
电动机,系统综合马力(Ps),476,476,476,476
电动机,系统综合扭矩(N·m),740,740,740,740
电动机,驱动电机数,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),180,180,252,252
电池/充电,CLTC纯电续航里程(km),215,215,306,306
电池/充电,WLTC综合续航(km),1065,1065,1132,1132
电池/充电,CLTC综合续航(km),1275,1275,1362,1362
电池/充电,电池能量(kWh),44.5,44.5,58.4,58.4
电池/充电,百公里耗电量(kWh/100km),-,-,23.6,23.6
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,快充功率(kW),100,100,100,100
电池/充电,电池快充时间(小时),0.4,0.4,0.4,0.4
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80
电池/充电,电池慢充时间(小时),6.8,6.8,8.8,8.8
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),2.2,2.2,2.2,2.2
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 275/45 R21,● 275/45 R21,● 275/45 R21,● 275/45 R21
车轮制动,后轮胎规格,● 275/45 R21,● 275/45 R21,● 275/45 R21,● 275/45 R21
车轮制动,备胎规格,"● 补胎工具
○ 全尺寸 (6000元)","● 补胎工具
○ 全尺寸 (6000元)","● 补胎工具
○ 全尺寸 (6000元)","● 补胎工具
○ 全尺寸 (6000元)"
车轮制动,备胎放置方式,○ 背负式,○ 背负式,○ 背负式,○ 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排"
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,-,○,○
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,哨兵模式/千里眼,-,-,○,○
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
主动安全,防侧翻系统,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶操控,拖挂模式,●,●,●,●
