セクション,項目,传祺M8 2025款 宗师系列 超级混动版,传祺M8 2024款 领秀系列 390T 豪华版,传祺M8 2024款 领秀系列 390T 尊享版,传祺M8 2024款 大师系列 400T 尊贵版,传祺M8 2024款 宗师系列 400T 先锋版,传祺M8 2024款 宗师系列 400T 至尊版,传祺M8 2024款 宗师系列 400T 科技关爱版,传祺M8 2024款 大师系列 超级混动版,传祺M8 2023款 宗师系列 400T 旗舰版,传祺M8 2026款 HEV尊贵版,传祺M8 2026款 HEV至尊版
发动机,发动机特有技术,-,DCVVT,DCVVT,DCVVT,DCVVT,DCVVT,DCVVT,-,DCVVT,-,-
发动机,能源类型,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,油电混合,油电混合
发动机,燃油标号,92号,95号,95号,95号,95号,95号,95号,92号,95号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铸铁,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,-,-,-,-,-,-,永磁/同步,-,-,-
电动机,电动机总功率(kW),134,-,-,-,-,-,-,134,-,-,-
电动机,电动机总马力(Ps),181,-,-,-,-,-,-,181,-,-,-
电动机,电动机总扭矩(N·m),300,-,-,-,-,-,-,300,-,-,-
电动机,前电动机最大功率(kW),134,-,-,-,-,-,-,134,-,-,-
电动机,前电动机最大扭矩(N·m),300,-,-,-,-,-,-,300,-,-,-
电动机,驱动电机数,单电机,-,-,-,-,-,-,单电机,-,-,-
电动机,电机布局,前置,-,-,-,-,-,-,前置,-,前置,前置
电动机,三电系统质保,● 八年或20万公里,-,-,-,-,-,-,● 八年或20万公里,-,-,-
电池/充电,电池类型,● 三元锂电池,-,-,-,-,-,-,● 三元锂电池,-,-,-
电池/充电,电芯品牌,● 欣旺达,-,-,-,-,-,-,● 欣旺达,-,-,-
变速箱,简称,2挡DHT,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,2挡DHT,8挡自动,2挡DHT,2挡DHT
变速箱,挡位个数,2,8,8,8,8,8,8,2,8,2,2
变速箱,变速箱类型,混合动力专用变速箱(DHT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),混合动力专用变速箱(DHT),自动变速箱(AT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 盘式,● 盘式,● 盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R18,● 225/60 R17,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,后轮胎规格,● 225/55 R18,● 225/60 R17,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,备胎规格,-,● 非全尺寸,● 非全尺寸,-,● 无,-,● 无,-,● 无,-,-
车轮制动,备胎放置方式,-,● 底挂式,● 底挂式,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,后风挡安全气囊,●,-,-,-,●,●,●,●,●,●,●
被动安全,缺气保用轮胎,-,-,-,-,-,-,-,-,○,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 前排,● 全车,"● 前排
● 第二排","● 前排
● 第二排"
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,-,-,-,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,-,-,-,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,●,-,-,-,●,-,-
主动安全,DOW开门预警,●,-,-,-,●,●,●,●,●,-,●
主动安全,前方碰撞预警,●,-,-,-,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,-,-,-,●,●,-,●,●,●,●
主动安全,低速行车警告,●,-,-,-,-,-,-,●,-,●,●
主动安全,内置行车记录仪,●,-,-,-,-,●,●,●,●,●,●
主动安全,道路救援呼叫,●,-,-,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,-,●,●,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,-,-,-,-,-,-,●,-,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,● 悬架软硬调节,-,-,-,● 悬架软硬调节,-,-
驾驶操控,电磁感应悬架,-,-,-,-,●,-,-,-,●,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,-,-,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,-,-,-,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 1个,● 1个,● 4个,● 5个,● 5个,● 5个,● 5个,● 8个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,-,-,● 2个,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 6个,-,-,● 6个,● 12个,● 6个,● 6个,● 6个,● 6个,● 6个,● 6个
驾驶硬件,毫米波雷达数量,● 3个,-,-,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 1个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● ADiGO Pilot,-,-,-,● ADiGO Pilot,● ADiGO Pilot,● ADiGO Pilot,● ADiGO Pilot,● ADiGO,● ADiGO Pilot,● ADiGO Pilot
驾驶功能,辅助驾驶等级,● L2,-,-,-,● L2,● L2,● L2,● L2,● L2,-,● L2
驾驶功能,倒车车侧预警系统,●,-,-,-,●,●,●,●,●,-,●
驾驶功能,卫星导航系统,●,-,-,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,-,-,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,-,-,● 高德,-,● 高德,-,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,●,-,-,-,-,●,●,●,●,-,-
驾驶功能,并线辅助,●,-,-,-,●,●,●,●,●,-,●
驾驶功能,车道保持辅助系统,●,-,-,-,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,-,-,-,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,-,-,-,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,●,-,-,-,-,-,-
驾驶功能,遥控泊车,-,-,-,-,●,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧电动,● 双侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,电动后备厢,●,-,-,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,●,-,-,●,●,●,●,●,●,-,-
外观/防盗,电动后备厢位置记忆,●,-,-,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,-,-,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,-,-,-,●,●,●,-,●,●,●
车外灯光,自动头灯,●,-,-,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 驾驶位,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排",-,-,-,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",-,● 全车,-,"● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,● 手动,-,-,-,● 手动,-,-,-,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,-,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,-,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 10.1英寸,● 10.1英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarLife,-,● 支持CarLife,● 支持CarLife,● 原厂互联/映射,● 支持CarLife,● 支持CarLife,● 支持CarLife,-,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
屏幕/系统,语音助手唤醒词,● 你好，小祺,-,-,● 你好，小祺,● 你好，小祺,● 你好，小祺,● 你好，小祺,● 你好，小祺,-,● 你好，小祺,● 你好，小祺
屏幕/系统,语音免唤醒词,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,-,-,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,手势控制,-,-,-,-,-,-,-,-,●,-,-
屏幕/系统,面部识别,-,-,-,-,●,-,-,-,●,-,-
屏幕/系统,应用商店,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● ADiGO Space,-,-,● ADiGO Space,● HarmonyOS,● ADiGO Space,● ADiGO Space,● ADiGO Space,● ADiGO,● ADiGO Space,● ADiGO Space
屏幕/系统,车机智能芯片,● 高通骁龙8155,-,-,● 高通骁龙8155,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
智能化配置,车联网,●,-,-,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,-,-,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,-,-,●,●,●,●,●,●,●,●
智能化配置,车内生物监测系统,-,-,-,-,●,-,-,-,●,-,-
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",-,-,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 真皮,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,-,-,-,●,●,●,-,●,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,-,-,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-,● 自动防眩目,-,-
