セクション,項目,星愿 2026款 310km 向往版,星愿 2026款 310km 乘风版,星愿 2026款 410km 向往版,星愿 2026款 410km 乘风版,星愿 2026款 480km 探索版,星愿 2026款 480km 探索+版,星愿 2026款 310km 青春版,星愿 2026款 310km 梦想版,星愿 2026款 410km 自在版,星愿 2026款 410km 自由版,星愿 2026款 410km 探索版
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),310,310,410,410,480,480,310,310,410,410,410
电池/充电,电池能量(kWh),30.12,30.12,40.16,40.16,47.14,47.14,30.12,30.12,40.16,40.16,40.16
电池/充电,百公里耗电量(kWh/100km),10.7,10.7,10.7,10.7,10.9,10.9,10.7,10.7,10.7,10.7,10.7
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.35,0.35,0.35,0.35,0.32,0.32,0.35,0.35,0.35,0.35,0.35
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,后轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,前 ● /后 ●,-,-,-,-,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,●,●,●,●,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,●,●,-,-,-,-,●
主动安全,主动刹车/主动安全系统,-,-,-,-,●,●,-,-,-,-,●
主动安全,疲劳驾驶提示,-,-,-,-,-,●,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,-,●,●,-,-,-,-,-
主动安全,前方碰撞预警,-,-,-,-,●,●,-,-,-,-,●
主动安全,哨兵模式/千里眼,-,-,-,-,●,●,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,○,○,●,●,-,●,●
主动安全,防侧翻系统,-,-,-,-,-,-,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,-,●,●,●,-,●,-,●,●
驾驶硬件,前方感知摄像头,-,-,-,-,● 单目,● 双目,-,-,-,-,● 单目
驾驶硬件,摄像头数量,● 1个,● 4个,● 1个,● 4个,● 5个,● 11个,● 1个,● 4个,● 1个,● 4个,● 5个
驾驶硬件,车内摄像头数量,-,-,-,-,-,● 1个,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 12个,● 12个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,毫米波雷达数量,-,-,-,-,● 2个,● 3个,-,-,-,-,-
驾驶功能,巡航系统,-,● 定速巡航,-,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 定速巡航,-,-,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,-,-,● 千里浩瀚H3,-,-,-,-,-
驾驶功能,辅助驾驶等级,-,-,-,-,● L2,● L2,-,-,-,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,车道居中保持,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,道路交通标识识别,-,-,-,-,●,●,-,-,-,-,●
驾驶功能,辅助泊车入位,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,遥控泊车,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,记忆泊车,-,-,-,-,-,●,-,-,-,-,-
驾驶功能,辅助变道,-,-,-,-,-,●,-,-,-,-,-
驾驶功能,信号灯识别,-,-,-,-,-,●,-,-,-,-,-
驾驶功能,起步提醒,-,-,-,-,●,●,-,-,-,-,●
驾驶功能,辅助驾驶路段,-,-,-,-,-,● 高速路段,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 钢,"● 钢
○ 铝合金 (2000元)",● 铝合金
外观/防盗,电动后备厢,-,●,-,●,●,●,-,●,-,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位
外观/防盗,主动闭合式进气格栅,-,-,-,-,●,●,-,-,-,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● 卤素,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● 卤素,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,-,●,●,-,-,-,-,-
车外灯光,自适应远近光,-,-,-,-,●,●,-,-,-,-,●
车外灯光,自动头灯,●,●,●,●,●,●,-,●,-,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,● 雨量感应式,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 10.1英寸,● 14.6英寸,● 10.1英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 10.1英寸,● 14.6英寸,● 10.1英寸,● 14.6英寸,● 14.6英寸
互联/智能化,中控屏幕分辨率,-,● 1920x1080,-,● 1920x1080,● 1920x1080,● 1920x1080,-,● 1920x1080,-,● 1920x1080,● 1920x1080
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热"
互联/智能化,语音助手唤醒词,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
互联/智能化,车机智能芯片,-,-,-,-,● 龍鹰一号,● 龍鹰一号,-,-,-,-,-
互联/智能化,车机系统内存(GB),● 8,● 8,● 8,● 8,● 16,● 16,-,-,-,-,-
互联/智能化,车机系统存储(GB),● 64,● 64,● 64,● 64,● 128,● 128,-,-,-,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,●,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,●,●,-,-,-,-,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
