セクション,項目,奔驰EQB 2025款 EQB 260,奔驰EQB 2025款 EQB 350 4MATIC,
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,–
外观/防盗,远程启动功能,●,●,–
外观/防盗,电池预加热,●,●,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,●,●,–
车外灯光,自动头灯,●,●,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,–
互联/智能化,中控屏幕分辨率,● 1920x720,● 1920x720,–
互联/智能化,中控屏幕像素密度,● 200PPI,● 200PPI,–
互联/智能化,蓝牙/车载电话,●,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调",–
互联/智能化,语音免唤醒词,●,●,–
互联/智能化,应用商店,●,●,–
互联/智能化,车载智能系统,● MBUX,● MBUX,–
互联/智能化,车联网,●,●,–
互联/智能化,4G/5G网络,● 4G,● 4G,–
互联/智能化,OTA升级,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",–
互联/智能化,模拟声浪,-,●,–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,–
方向盘/内后视镜,方向盘加热,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,–
方向盘/内后视镜,HUD抬头数字显示,○ (9000元),●,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,–
方向盘/内后视镜,ETC装置,○ (3000元),○ (3000元),–
车内充电,多媒体/充电接口,● Type-C,● Type-C,–
车内充电,USB/Type-C接口数量,● 前排3个/后排1个,● 前排3个/后排3个,–
车内充电,手机无线充电功能,● 前排,● 前排,–
座椅配置,座椅材质,● 仿皮,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,● 加热,● 加热,–
座椅配置,电动座椅记忆功能,-,-,–
座椅配置,副驾驶位后排可调节按钮,-,-,–
座椅配置,第二排座椅调节,-,"● 前后调节
● 靠背调节",–
座椅配置,座椅布局,-,● 2-3-2,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,–
音响/车内灯光,扬声器品牌名称,○ Burmester柏林之声 (8200元),○ Burmester柏林之声 (8200元),–
音响/车内灯光,扬声器数量,● 待查,● 待查,–
音响/车内灯光,杜比全景声(Dolby Atmos),○,○,–
音响/车内灯光,车内环境氛围灯,● 64色,● 64色,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,-,–
空调/冰箱,后座出风口,●,●,–
空调/冰箱,温度分区控制,-,-,–
空调/冰箱,车载空气净化器,●,●,–
空调/冰箱,车内PM2.5过滤装置,●,●,–
空调/冰箱,空气质量监测,●,●,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
选装包,智能领航辅助Plus,○ 选配 (21000元),-,–
