セクション,項目,宏光MINIEV 2026款 第五代 205km 进阶款,宏光MINIEV 2026款 第五代 205km 臻享款,宏光MINIEV 2026款 第五代 301km 进阶款,宏光MINIEV 2026款 第五代 301km 臻享款,宏光MINIEV 2025款 第四代 四门版 进阶款,宏光MINIEV 2025款 第四代 四门版 臻享款,宏光MINIEV 2025款 第四代 四门版 臻享+款,宏光MINIEV 2025款 第四代 四门版 301km 臻享+款,宏光MINIEV 2024款 第三代 120km,宏光MINIEV 2024款 第三代 170km,宏光MINIEV 2024款 第三代 215km 青春版,宏光MINIEV 2024款 第三代 215km 进阶版
车身,宽度(mm),1520,1520,1520,1520,1510,1510,1510,1510,1493,1493,1493,1493
车身,高度(mm),1575,1575,1575,1575,1578,1578,1578,1578,1614,1629,1614,1629
车身,轴距(mm),2190,2190,2190,2190,2190,2190,2190,2190,2010,2010,2010,2010
车身,前轮距(mm),1282,1282,1282,1282,1282,1282,1282,1282,1290,1290,1290,1290
车身,后轮距(mm),1290,1290,1290,1290,1290,1290,1290,1290,1306,1306,1306,1306
车身,满载最小离地间隙(mm),-,-,-,-,120,120,120,120,-,-,-,-
车身,空载最小离地间隙(mm),-,-,-,-,-,-,-,-,138,138,130,130
车身,接近角(°),22,22,22,22,22,22,22,22,25,25,25,25
车身,离去角(°),38,38,38,38,38,38,38,38,36,36,36,36
车身,最小转弯半径(m),4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.3,4.3,4.3,4.3
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 3,● 3,● 3,● 3
车身,座位数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,后备厢容积(L),170-838,170-838,170-838,170-838,123-745,123-745,123-745,123-745,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
电动机,后电动机品牌,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克,双林汽车/浙江方正,双林汽车/浙江方正,双林汽车,双林汽车
电动机,后电动机型号,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155X020/TZ160X020,TZ155X020/TZ160X020,TZ155X030,TZ155X030
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),30,30,30,30,30,30,30,30,20,20,30,30
电动机,电动机总马力(Ps),41,41,41,41,41,41,41,41,27,27,41,41
电动机,电动机总扭矩(N·m),85,85,85,85,-,-,-,-,85,85,92,92
电动机,后电动机最大功率(kW),30,30,30,30,30,30,30,30,20,20,30,30
电动机,后电动机最大扭矩(N·m),85,85,85,85,-,-,-,-,85,85,92,92
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 国轩高科
● 广西宁福","● 国轩高科
● 广西宁福","● 国轩高科
● 瑞浦能源","● 国轩高科
● 瑞浦能源","● 宁德时代
● 国轩高科","● 宁德时代
● 国轩高科","● 宁德时代
● 国轩高科","● 宁德时代
● 国轩高科","● 蜂巢能源
● 柳州华霆","● 蜂巢能源
● 国轩高科
● 柳州科易","● 国轩高科
● 广西宁福","● 国轩高科
● 广西宁福"
电池/充电,电池特有技术,-,-,-,-,神炼电池,神炼电池,神炼电池,神炼电池,-,-,-,-
电池/充电,换电,-,-,-,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,CLTC纯电续航里程(km),205,205,301,301,205,205,205,301,120,170,215,215
电池/充电,电池能量(kWh),16.2,16.2,25.1,25.1,16.2,16.2,16.2,25.1,9.3,13.4,17.3,17.3
电池/充电,电池能量密度(Wh/kg),-,-,-,-,125,125,125,-,-,-,-,-
电池/充电,百公里耗电量(kWh/100km),8.9,8.9,9.2,9.2,8.9,8.9,8.9,9.2,-,-,9,9
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,-,-,支持,支持
电池/充电,快充功率(kW),-,-,-,-,20,20,20,-,-,-,-,-
电池/充电,电池快充时间(小时),0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,-,-,0.58,0.58
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-,30-80,30-80
电池/充电,电池慢充时间(小时),4.8,4.8,7.2,7.2,4.8,4.8,4.8,7.2,4.6,6.8,5,5
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100
电池/充电,慢充接口位置,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前
电池/充电,快充接口位置,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前,-,-,车正前,车正前
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 多连杆式非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 多连杆非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 盘式,● 鼓式,● 盘式,● 鼓式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 手刹,● 电子驻车,● 手刹,● 电子驻车,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
车轮制动,后轮胎规格,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
车轮制动,备胎规格,-,-,-,-,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,●,●,●,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,●,-,●,-,●,●,●,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,●,-,●,-,●,●,●,-,-,-,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,●,-,●,-,●,●,●,-,-,-,-
驾驶操控,上坡辅助,-,●,-,●,-,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,-,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像
驾驶硬件,摄像头数量,-,● 1个,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个
驾驶硬件,超声波雷达数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢
外观/防盗,车顶行李架,-,-,-,-,-,-,-,-,-,●,-,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,●,-,●,-,●,●,●,-,-,-,-
外观/防盗,无钥匙进入功能,-,● 驾驶位,-,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,-,-,-,-
外观/防盗,远程启动功能,-,-,-,-,-,●,●,●,-,-,-,-
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,"● 卤素
○ LED",● 卤素,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,"● 卤素
○ LED",● 卤素,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,●,-,●,-,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,中控彩色屏幕,-,● 触控液晶屏,-,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,-,● 触控液晶屏
互联/智能化,中控屏幕尺寸,-,● 10.1英寸,-,● 10.1英寸,-,● 8英寸,● 8英寸,● 8英寸,-,● 8英寸,-,● 8英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车联网,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,手机APP远程功能,"● 车门控制
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个,● 前排3个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–
