セクション,項目,领克10 2025款 120四驱Ultra H5,领克10 2025款 240四驱Ultra H5,领克10 2025款 240四驱Ultra运动版 H7,领克10 2025款 120四驱Halo,领克10 2025款 120四驱Ultra,领克10 2025款 240四驱Ultra,领克10 2025款 240四驱Ultra运动版,领克10 2026款 纯电 两驱长续航,领克10 2026款 纯电 四驱10+
基本参数,最低荷电状态油耗(L/100km)WLTC,5.27,5.47,5.47,5.27,5.27,5.47,5.47,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,4.2,4.38,4.38,4.2,4.2,4.38,4.38,-,-
基本参数,油电综合燃料消耗量(L/100km),3.17,2.56,2.56,3.17,3.17,2.56,2.56,-,-
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2137,2257,2257,2137,2137,2257,2257,2317,2287
基本参数,最大满载质量(kg),2577,2697,2697,2577,2577,2697,2697,2792,2762
车身,长度(mm),5050,5050,5050,5050,5050,5050,5050,5050,5050
车身,宽度(mm),1966,1966,1966,1966,1966,1966,1966,1966,1966
车身,高度(mm),1487,1487,1487,1487,1487,1487,1487,1468,1463
车身,轴距(mm),3005,3005,3005,3005,3005,3005,3005,3005,3005
车身,前轮距(mm),1698,1698,1698,1698,1698,1698,1698,1703,1698
车身,后轮距(mm),1710,1710,1710,1710,1710,1710,1710,1713,1710
车身,满载最小离地间隙(mm),-,-,-,-,-,-,-,129,142
车身,空载最小离地间隙(mm),136,136,144,136,136,136,144,-,-
车身,接近角(°),14,14,14,14,14,14,14,14,15
车身,离去角(°),15,15,15,15,15,15,15,15,17
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,60,60,-,-
车身,后备厢容积(L),-,-,-,-,-,-,-,616,520
车身,风阻系数(Cd),-,-,-,-,-,-,-,0.198,0.198
发动机,发动机型号,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,-,-
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,-,-
发动机,气缸排列形式,L,L,L,L,L,L,L,-,-
发动机,气缸数(个),4,4,4,4,4,4,4,-,-
发动机,每缸气门数(个),4,4,4,4,4,4,4,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-
发动机,最大马力(Ps),163,163,163,163,163,163,163,-,-
发动机,最大功率(kW),120,120,120,120,120,120,120,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),255,255,255,255,255,255,255,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),115,115,115,115,115,115,115,-,-
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,-,-
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-
电动机,前电动机品牌,-,-,-,-,-,-,-,-,衢州极电
电动机,后电动机品牌,-,-,-,-,-,-,-,衢州极电,衢州极电
电动机,前电动机型号,TZ220QY035,TZ220QY035,TZ220QY035,TZ220QY035,TZ220QY035,TZ220QY035,TZ220QY035,-,YS220XYG01
电动机,后电动机型号,YS180XS001,YS180XS001,YS180XS001,YS180XS001,YS180XS001,YS180XS001,YS180XS001,TZ230XYC04,TZ230XYC04
电动机,电机类型,前永磁/同步 后交流/异步,前永磁/同步 后交流/异步,前永磁/同步 后交流/异步,前永磁/同步 后交流/异步,前永磁/同步 后交流/异步,前永磁/同步 后交流/异步,前永磁/同步 后交流/异步,永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),270,270,270,270,270,270,270,370,680
电动机,电动机总马力(Ps),367,367,367,367,367,367,367,503,925
电动机,电动机总扭矩(N·m),500,500,500,500,500,500,500,-,-
电动机,前电动机最大功率(kW),180,180,180,180,180,180,180,-,310
电动机,前电动机最大扭矩(N·m),350,350,350,350,350,350,350,-,-
电动机,后电动机最大功率(kW),90,90,90,90,90,90,90,370,370
电动机,后电动机最大扭矩(N·m),150,150,150,150,150,150,150,-,-
电动机,系统综合功率(kW),390,390,390,390,390,390,390,-,-
电动机,系统综合功率(Ps),530,530,530,530,530,530,530,-,-
电动机,系统综合扭矩(N·m),755,755,755,755,755,755,755,-,-
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,单电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,后置,前置+后置
电动机,三电系统质保,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里,-,-
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 衢州极电,● 衢州极电,● 宁德时代,● 宁德时代,● 衢州极电,● 衢州极电,● 吉曜通行,● 衢州极电
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),100,192,192,100,100,192,192,-,-
电池/充电,CLTC纯电续航里程(km),120,240,240,120,120,240,240,-,-
电池/充电,CLTC综合续航(km),1300,1400,1400,1300,1300,1400,1400,-,-
电池/充电,电池能量(kWh),18.4,38.2,38.2,18.4,18.4,38.2,38.2,-,-
电池/充电,百公里耗电量(kWh/100km),16.7,17.9,17.9,16.7,16.7,17.9,17.9,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.3,0.25,0.25,0.3,0.3,0.25,0.25,-,-
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,-,-
变速箱,简称,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,3,3,3,3,3,3,3,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,-,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 245/50 R19
○ 255/40 R21","● 245/50 R19
○ 255/40 R21",● 255/40 R21,● 245/50 R19,"● 245/50 R19
○ 255/40 R21","● 245/50 R19
○ 255/40 R21",● 255/40 R21,"● 245/50 R19
○ 255/40 R21 (6000元)",● 255/40 R21
车轮制动,后轮胎规格,"● 245/50 R19
○ 255/40 R21","● 245/50 R19
○ 255/40 R21",● 255/40 R21,● 245/50 R19,"● 245/50 R19
○ 255/40 R21","● 245/50 R19
○ 255/40 R21",● 255/40 R21,"● 245/50 R19
○ 255/40 R21 (6000元)",● 255/40 R21
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,-,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,-,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,-,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-,-
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,-,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,-,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,-,-
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,-,-
主动安全,后方碰撞预警,●,●,●,●,●,●,●,-,-
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,-,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,-,-
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地",-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,-,-
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",-,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,-,-
驾驶硬件,辅助驾驶芯片,"○ 英伟达 Drive AGX Thor
● 英伟达 Orin-Y","○ 英伟达 Drive AGX Thor
● 英伟达 Orin-Y","● 英伟达 Drive AGX Thor
○ 英伟达 Orin-Y",● 英伟达 Orin-Y,● 英伟达 Drive AGX Thor,● 英伟达 Drive AGX Thor,● 英伟达 Drive AGX Thor,-,-
驾驶硬件,芯片总算力,"● 200 TOPS
○ 700 TOPS","● 200 TOPS
○ 700 TOPS","○ 200 TOPS
● 700 TOPS",● 200 TOPS,● 700 TOPS,● 700 TOPS,● 700 TOPS,-,-
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,-,-
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,-,-
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,-,-
驾驶硬件,毫米波雷达数量,"● 3个
○ 5个","● 3个
○ 5个","○ 3个
● 5个",● 3个,● 5个,● 5个,● 5个,-,-
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,-
驾驶功能,辅助驾驶系统,"● 千里浩瀚H5
○ 千里浩瀚H7 (10000元)","● 千里浩瀚H5
○ 千里浩瀚H7 (10000元)","○ 千里浩瀚H5
● 千里浩瀚H7",● 千里浩瀚H5,● 千里浩瀚H7,● 千里浩瀚H7,● 千里浩瀚H7,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,-
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,-,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,-,-
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-
驾驶功能,AR实景导航,●,●,●,●,●,●,●,-,-
驾驶功能,高精定位,●,●,●,●,●,●,●,-,-
驾驶功能,并线辅助,●,●,●,●,●,●,●,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,-,-
驾驶功能,车道居中保持,●,●,●,●,●,●,●,-,-
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,-,-
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,-,-
驾驶功能,遥控泊车,●,●,●,●,●,●,●,-,-
驾驶功能,记忆泊车,●,●,●,●,●,●,●,-,-
驾驶功能,循迹倒车,●,●,●,●,●,●,●,-,-
驾驶功能,辅助变道,●,●,●,●,●,●,●,-,-
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,-,-
驾驶功能,信号灯识别,●,●,●,●,●,●,●,-,-
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,-,-
驾驶功能,起步提醒,●,●,●,●,●,●,●,-,-
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段",-,-
外观/防盗,外观套件,○ 运动风格,○ 运动风格,● 运动风格,-,○ 运动风格,○ 运动风格,● 运动风格,-,-
外观/防盗,电动扰流板,○,○,●,-,○,○,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-,-
外观/防盗,无框设计车门,●,●,●,●,●,●,●,-,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,-,-
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,-,-
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙",-,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,-,-
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,-,-
外观/防盗,电池预加热,●,●,●,●,●,●,●,-,-
外观/防盗,对外放电,●,●,●,●,●,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,-,-
车外灯光,自适应远近光,●,●,●,●,●,●,●,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,-,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,-,-
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●,-,-
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,-,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,-,-
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,-,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",-,-
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-
互联/智能化,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,-,-
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link",-,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩",-,-
互联/智能化,语音助手唤醒词,● 嗨，领克,● 嗨，领克,● 嗨，领克,● 嗨，领克,● 嗨，领克,● 嗨，领克,● 嗨，领克,-,-
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,-,-
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,-,-
互联/智能化,语音连续识别,●,●,●,●,●,●,●,-,-
互联/智能化,可见即可说,●,●,●,●,●,●,●,-,-
互联/智能化,声纹识别,●,●,●,●,●,●,●,-,-
互联/智能化,应用商店,●,●,●,●,●,●,●,-,-
互联/智能化,车载智能系统,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto,-,-
互联/智能化,车机智能芯片,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,-,-
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-,-
互联/智能化,OTA升级,●,●,●,●,●,●,●,-,-
