セクション,項目,宝马i5 2026款 改款 eDrive 35L M运动套装,宝马i5 2026款 改款 eDrive 40L M运动套装,宝马i5 2026款 改款 xDrive 50L M运动套装,宝马i5 2026款 eDrive 35L M运动套装,宝马i5 2026款 eDrive 40L M运动套装,宝马i5 2026款 xDrive 50L M运动套装
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),602,713,651,618,713,651
电池/充电,电池能量(kWh),81.6,97,97,81.6,97,97
电池/充电,百公里耗电量(kWh/100km),14.8,14.7,16,14.4,14.7,16
电池/充电,电池组质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.55,0.55,0.55,0.55,0.55,0.55
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,电池慢充时间(小时),13,15.5,15.5,13,15.5,15.5
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,● 电动四驱,-,-,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 245/45 R19
○ 245/40 R20 (6400元)","● 245/45 R19
○ 245/40 R20 (6400元)",● 245/40 R20,"● 245/45 R19
○ 245/40 R20 (6400元)","● 245/45 R19
○ 245/40 R20 (6400元)",● 245/40 R20
车轮制动,后轮胎规格,"● 245/45 R19
○ 275/35 R20","● 245/45 R19
○ 275/35 R20",● 275/35 R20,"● 245/45 R19
○ 275/35 R20","● 245/45 R19
○ 275/35 R20",● 275/35 R20
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,单踏板模式,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,"● 单目
○ 双目","● 单目
○ 双目",● 双目,"● 单目
○ 双目","● 单目
○ 双目",● 双目
驾驶硬件,摄像头数量,"● 5个
○ 6个","● 5个
○ 6个",● 6个,"● 2个
○ 6个","● 5个
○ 6个",● 6个
驾驶硬件,车内摄像头数量,○ 1个 (2100元),"● 1个
○ 2个 (2100元)","● 1个
○ 2个 (2100元)",○ 1个 (2100元),"● 1个
○ 2个 (2100元)","● 1个
○ 2个 (2100元)"
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶功能,巡航系统,"● 自适应巡航
○ 全速自适应巡航 (1.55万元)","● 自适应巡航
○ 全速自适应巡航 (1.55万元)",● 全速自适应巡航,"● 自适应巡航
○ 全速自适应巡航 (1.55万元)","● 自适应巡航
○ 全速自适应巡航 (1.55万元)",● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,○,●,●
驾驶功能,循迹倒车,●,●,●,●,●,●
驾驶功能,辅助变道,○,○,●,○,○,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●
外观/防盗,外观套件,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,转向头灯,○ (6100元),○ (6100元),●,○ (6100元),○ (6100元),○ (6100元)
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,星空天窗,○ (7300元),○ (7300元),●,○ (7300元),●,●
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马
互联/智能化,语音免唤醒词,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●,●,●
互联/智能化,手势控制,○,○,○,○,○,○
互联/智能化,面部识别,○,○,○,○,○,○
互联/智能化,应用商店,●,●,●,●,●,●
互联/智能化,车载智能系统,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
互联/智能化,车机智能芯片,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P
互联/智能化,后排液晶屏幕,○,○,○,○,○,○
互联/智能化,后排液晶屏幕尺寸,○ 31英寸,○ 31英寸,○ 31英寸,○ 31英寸,○ 31英寸,○ 31英寸
互联/智能化,后排控制多媒体,○,○,○,○,○,○
互联/智能化,车联网,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,"● 4G
○ 5G","● 4G
○ 5G","● 4G
○ 5G"
互联/智能化,OTA升级,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●
互联/智能化,V2X通讯,-,-,●,-,-,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,模拟声浪,○ (2200元),○ (2200元),○ (2200元),○ (2200元),○ (2200元),○ (2200元)
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元)
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○ (1.08万元),●,●,○ (1.08万元),○ (1.08万元),●
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●
车内充电,多媒体/充电接口,"○ HDMI
● Type-C","○ HDMI
● Type-C","○ HDMI
● Type-C","○ HDMI
● Type-C","○ HDMI
● Type-C","○ HDMI
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向) (2400元)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向) (2400元)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
○ 通风","● 加热
● 通风","● 加热
● 通风"
座椅配置,电动座椅记忆功能,"● 驾驶位
○ 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
○ 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,第二排座椅功能,● 加热,● 加热,● 加热,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿 (6000元),"● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (6000元)",● Bowers & Wilkins宝华韦健,○ Harman/Kardon哈曼卡顿 (6000元),"● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (6000元)",● Bowers & Wilkins宝华韦健
音响/车内灯光,扬声器数量,"● 8喇叭
○ 12喇叭","● 12喇叭
○ 18喇叭",● 18喇叭,"● 8喇叭
○ 12喇叭","● 12喇叭
○ 18喇叭",● 18喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,○ (5600元),○ (5600元),○ (5600元)
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–
选装包,曜夜套装,-,-,-,○ 选配 (2000元),○ 选配 (2000元),-
选装包,金色外观套装,-,-,-,○ 选配 (8800元),-,-
选装包,尊享前排套装,-,-,-,○ 选配 (11800元),-,-
选装包,娱乐套装,-,-,-,○ 选配 (45800元),○ 选配 (45800元),-
选装包,高配金色外观套装,-,-,-,-,○ 选配 (13000元),-
选装包,高配金色外观套装,-,-,-,-,-,○ 选配 (6800元)
选装包,娱乐套装,-,-,-,-,-,○ 选配 (37000元)
