セクション,項目,奥迪A6L 2026款 40 TFSI 豪华动感型,奥迪A6L 2026款 2.0T 臻选型,奥迪A6L 2026款 45 TFSI 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 2.0T 尊享型,奥迪A6L 2026款 2.0T quattro 尊享型,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2026款 3.0T quattro 旗舰型
电动机,电动机总扭矩(N·m),-,-,-,-,-,-,230,-,230
电动机,前电动机最大功率(kW),-,-,-,-,-,-,18,-,18
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,230,-,230
电动机,驱动电机数,-,-,-,-,-,-,单电机,-,单电机
电动机,电机布局,-,-,-,-,-,-,前置,-,前置
电池/充电,电池类型,-,-,-,-,-,-,● 磷酸铁锂电池,-,● 磷酸铁锂电池
电池/充电,电池能量(kWh),-,-,-,-,-,-,1.7,-,1.7
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,-,● 适时四驱,● 适时四驱,-,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,-,● 多片离合器,● 多片离合器,-,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 245/45 R19
○ 255/40 R20 (3200元)","● 225/55 R18
○ 245/45 R19 (4500元)
○ 255/40 R20 (6500元)",● 255/40 R20,● 255/40 R20,● 255/40 R20,"● 245/45 R19
○ 255/35 R21 (9000元)
○ 255/40 R20 (4500元)","● 255/40 R20
○ 255/35 R21 (4500元)",● 255/40 R20,● 255/35 R21
车轮制动,后轮胎规格,"● 245/45 R19
○ 255/40 R20 (3200元)","● 225/55 R18
○ 245/45 R19
○ 255/40 R20",● 255/40 R20,● 255/40 R20,● 255/40 R20,"● 245/45 R19
○ 255/35 R21
○ 255/40 R20","● 255/40 R20
○ 255/35 R21",● 255/40 R20,● 255/35 R21
车轮制动,备胎规格,● 非全尺寸,● 补胎工具,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 补胎工具,● 补胎工具,● 非全尺寸,● 补胎工具
车轮制动,备胎放置方式,● 后备厢内,-,● 后备厢内,● 后备厢内,● 后备厢内,-,-,● 后备厢内,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ○ (2000元),前 ● /后 ○ (2200元),前 ● /后 ○ (2000元),前 ● /后 ○ (2000元),前 ● /后 ○ (2000元),前 ● /后 ○ (2200元),前 ● /后-,前 ● /后 ○ (2000元),前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,●,-,-,-,●,●,-,●
被动安全,被动行人保护,●,-,●,●,●,-,-,●,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 全车,● 前排,● 前排,● 前排,● 全车,● 全车,● 前排,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,●,-,-,-,●,●,-,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,●,-,-,-,●,●,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,-,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,● 悬架软硬调节,-,-,-,● 悬架软硬调节,"● 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
○ 悬架高低调节"
驾驶操控,空气悬架,-,-,-,-,-,-,○ (1.60万元),○ (2.90万元),○ (1.60万元)
驾驶操控,空气悬挂类型,-,-,-,-,-,-,○ 单腔,-,○ 单腔
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●
驾驶操控,整体主动转向系统,-,-,-,-,-,-,○ (10000元),-,○ (10000元)
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像 (7000元)","● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,○,-,-,-,○,○,-,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,"● 2个
○ 5个","● 3个
○ 6个",● 5个,● 5个,● 5个,● 6个,● 6个,● 5个,● 6个
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,"● 1个
○ 3个","● 5个
○ 6个","● 1个
○ 3个","● 1个
○ 3个","● 1个
○ 3个",● 6个,● 6个,"● 1个
○ 3个",● 6个
驾驶硬件,激光雷达数量,-,○ 2个,-,-,-,○ 2个,○ 2个,-,○ 2个
驾驶功能,巡航系统,"● 定速巡航
○ 全速自适应巡航 (2.00万元)",● 全速自适应巡航,"● 定速巡航
○ 全速自适应巡航 (2.00万元)","● 定速巡航
○ 全速自适应巡航 (2.00万元)","● 定速巡航
○ 全速自适应巡航 (2.00万元)",● 全速自适应巡航,● 全速自适应巡航,"● 定速巡航
○ 全速自适应巡航 (2.00万元)",● 全速自适应巡航
驾驶功能,辅助驾驶等级,○ L2,● L2,○ L2,○ L2,○ L2,● L2,● L2,○ L2,● L2
驾驶功能,倒车车侧预警系统,○,●,○,○,○,●,●,○,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,○,●,○,○,○,●,●,○,●
驾驶功能,车道保持辅助系统,○,●,○,○,○,●,●,○,●
驾驶功能,车道居中保持,○,○,○,○,○,●,●,○,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●
驾驶功能,夜视系统,○ (1.91万元),-,○ (1.91万元),○ (1.91万元),○ (1.91万元),-,-,○ (1.91万元),-
驾驶功能,辅助泊车入位,○ (4000元),●,-,-,-,●,●,-,●
驾驶功能,遥控泊车,-,○,-,-,-,○,○,-,●
驾驶功能,记忆泊车,-,○,-,-,-,○,○,-,●
驾驶功能,循迹倒车,-,○,-,-,-,○,○,-,●
驾驶功能,辅助变道,-,○,-,-,-,●,●,-,●
驾驶功能,辅助匝道自动驶出(入),-,○,-,-,-,○,○,-,○
驾驶功能,信号灯识别,-,○,-,-,-,○,○,-,○
驾驶功能,辅助驾驶路段,-,"○ 城市路段
○ 高速路段",-,-,-,"○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段",-,"○ 城市路段
○ 高速路段"
外观/防盗,外观套件,● 运动风格,-,● 运动风格,● 运动风格,● 运动风格,-,-,● 运动风格,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,-,○ 全车 (7000元),-,-,-,○ 全车 (7000元),○ 全车 (7000元),-,● 全车
外观/防盗,投影感应开启,-,● 后备厢,-,-,-,● 后备厢,● 后备厢,-,● 后备厢
外观/防盗,电动后备厢,○ (7000元),○ (3500元),●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,"● 遥控钥匙
○ 蓝牙钥匙 (1000元)",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,○,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,"● 矩阵式
○ 数字式 (1.35万元)",● 矩阵式,● 矩阵式,● 矩阵式,"● 矩阵式
○ 数字式 (1.35万元)","● 矩阵式
○ 数字式 (1.35万元)",● 矩阵式,"● 矩阵式
○ 数字式 (1.35万元)"
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯清洗装置,○,-,○,○,○,-,-,○,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 不可开启全景天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 分段式电动天窗,● 不可开启全景天窗
天窗/玻璃,星空天窗,-,○ (7000元),-,-,-,○ (7000元),○ (7000元),-,●
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,○ 全车,"○ 前排
○ 后排",○ 全车,○ 全车,○ 全车,"○ 前排
○ 后排","● 前排
● 后排",● 全车,"● 前排
● 后排"
天窗/玻璃,后风挡遮阳帘,○ (2000元),-,○ (2000元),○ (2000元),●,-,-,-,-
天窗/玻璃,后排侧隐私玻璃,○ (2000元),●,○ (2000元),○ (2000元),○ (2000元),●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
○ 后视镜记忆 (2500元)
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
○ 后视镜记忆 (2500元)
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 10.1英寸,● 14.5英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 14.5英寸,● 14.5英寸,● 10.1英寸,● 14.5英寸
互联/智能化,中控下屏幕尺寸,● 8.6英寸,-,● 8.6英寸,● 8.6英寸,● 8.6英寸,-,-,● 8.6英寸,-
互联/智能化,副驾娱乐屏尺寸,-,● 10.9英寸,-,-,-,● 10.9英寸,● 10.9英寸,-,● 10.9英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗"
互联/智能化,语音助手唤醒词,-,● 你好，奥迪,-,-,-,● 你好，奥迪,● 你好，奥迪,-,● 你好，奥迪
互联/智能化,语音免唤醒词,-,●,-,-,-,●,●,-,●
互联/智能化,语音分区域唤醒识别,-,● 四区域,-,-,-,● 四区域,● 四区域,-,● 四区域
互联/智能化,语音连续识别,-,●,-,-,-,●,●,-,●
互联/智能化,可见即可说,-,●,-,-,-,●,●,-,●
互联/智能化,应用商店,-,●,-,-,-,●,●,-,●
互联/智能化,车载智能系统,● 奥迪Connect,-,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,-,-,● 奥迪Connect,-
互联/智能化,后排液晶屏幕,-,-,○ (7100元),○ (7100元),○ (7100元),-,-,○ (7100元),-
互联/智能化,后排控制多媒体,-,-,○,○,○,-,-,○,-
互联/智能化,车联网,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,-,●,-,-,-,●,●,-,●
互联/智能化,Wi-Fi热点,-,●,-,-,-,●,●,-,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制","● 车门控制
● 车窗控制
○ 车辆启动
○ 空调控制 (500元)
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制","● 车门控制
● 车辆启动
● 空调控制","● 车门控制
● 车辆启动
● 空调控制","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,"● 手动上下+前后调节
○ 电动上下+前后调节 (4000元)","● 手动上下+前后调节
○ 电动上下+前后调节 (3400元)","● 手动上下+前后调节
○ 电动上下+前后调节 (4000元)",● 电动上下+前后调节,● 电动上下+前后调节,"● 手动上下+前后调节
○ 电动上下+前后调节 (3400元)","● 手动上下+前后调节
○ 电动上下+前后调节 (3400元)",● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○,○,○ (1000元),○,●
方向盘/内后视镜,方向盘记忆,○,○,○,●,●,○,○,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 11.9英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 11.9英寸,● 11.9英寸,● 12.3英寸,● 11.9英寸
方向盘/内后视镜,HUD抬头数字显示,○ (1.87万元),○ (10000元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (10000元),○ (10000元),○ (1.87万元),○ (10000元)
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (1000元),○ (500元),○ (500元),○ (500元),○ (1000元),○ (1000元),○ (500元),○ (1000元)
