セクション,項目,尚界H5 2026款 增程 Pro,尚界H5 2026款 增程 Max+,尚界H5 2026款 纯电 Pro,尚界H5 2026款 纯电 Max+,尚界H5 2026款 纯电 Pro 长续航,尚界H5 2026款 纯电 Max+ 长续航,尚界H5 2025款 增程 Pro,尚界H5 2025款 纯电 Pro,尚界H5 2025款 纯电 Pro 长续航,尚界H5 2025款 增程 Max,尚界H5 2025款 纯电 Max,尚界H5 2025款 纯电 Max 长续航
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),2000,2000,1985,1985,1960,1960,2000,1985,1960,2000,1985,1960
基本参数,最大满载质量(kg),2410,2410,2395,2395,2370,2370,2410,2395,2370,2410,2395,2370
车身,长度(mm),4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
车身,宽度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,高度(mm),1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657
车身,轴距(mm),2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
车身,前轮距(mm),1623,1623,1622,1622,1622,1622,1623,1622,1622,1623,1622,1622
车身,后轮距(mm),1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612
车身,接近角(°),17,17,17,17,17,17,17,17,17,17,17,17
车身,离去角(°),22,22,22,22,22,22,22,22,22,22,22,22
车身,最小转弯半径(m),5.5,5.5,5.4,5.4,5.4,5.4,5.5,5.4,5.4,5.5,5.4,5.4
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,-,-,-,-,50,-,-,50,-,-
车身,前备厢容积(L),-,-,124,124,124,124,-,124,124,-,124,124
车身,后备厢容积(L),593-1829,593-1829,601-1837,601-1837,601-1837,601-1837,593-1829,601-1837,601-1837,593-1829,601-1837,601-1837
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,15FMC,15FMC,-,-,-,-,15FMC,-,-,15FMC,-,-
发动机,排量(mL),1498,1498,-,-,-,-,1498,-,-,1498,-,-
发动机,排量(L),1.5,1.5,-,-,-,-,1.5,-,-,1.5,-,-
发动机,进气形式,自然吸气,自然吸气,-,-,-,-,自然吸气,-,-,自然吸气,-,-
发动机,气缸排列形式,L,L,-,-,-,-,L,-,-,L,-,-
发动机,气缸数(个),4,4,-,-,-,-,4,-,-,4,-,-
发动机,每缸气门数(个),4,4,-,-,-,-,4,-,-,4,-,-
发动机,配气机构,DOHC,DOHC,-,-,-,-,DOHC,-,-,DOHC,-,-
发动机,最大马力(Ps),98,98,-,-,-,-,98,-,-,98,-,-
发动机,最大功率(kW),72,72,-,-,-,-,72,-,-,72,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),70,70,-,-,-,-,70,-,-,70,-,-
发动机,能源类型,增程式,增程式,纯电动,纯电动,纯电动,纯电动,增程式,纯电动,纯电动,增程式,纯电动,纯电动
发动机,燃油标号,92号,92号,-,-,-,-,92号,-,-,92号,-,-
发动机,供油方式,多点电喷,多点电喷,-,-,-,-,多点电喷,-,-,多点电喷,-,-
发动机,缸盖材料,铝合金,铝合金,-,-,-,-,铝合金,-,-,铝合金,-,-
发动机,缸体材料,铝合金,铝合金,-,-,-,-,铝合金,-,-,铝合金,-,-
发动机,环保标准,国VI,国VI,-,-,-,-,国VI,-,-,国VI,-,-
电动机,后电动机品牌,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车,上海汽车
电动机,后电动机型号,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352,TZ204XS1352
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),150,150,150,150,180,180,150,150,180,150,150,180
电动机,电动机总马力(Ps),204,204,204,204,245,245,204,204,245,204,204,245
电动机,电动机总扭矩(N·m),350,350,350,350,350,350,350,350,350,350,350,350
电动机,后电动机最大功率(kW),150,150,150,150,180,180,150,150,180,150,150,180
电动机,后电动机最大扭矩(N·m),350,350,350,350,350,350,350,350,350,350,350,350
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),200,200,-,-,-,-,200,-,-,200,-,-
电池/充电,CLTC纯电续航里程(km),235,235,535,525,655,640,235,535,655,235,525,640
电池/充电,WLTC综合续航(km),1165,1165,-,-,-,-,1165,-,-,1165,-,-
电池/充电,CLTC综合续航(km),1360,1360,-,-,-,-,1360,-,-,1360,-,-
电池/充电,电池能量(kWh),32.6,32.6,64.6,64.6,80,80,32.6,64.6,80,32.6,64.6,80
电池/充电,百公里耗电量(kWh/100km),17.2,17.2,13.5,13.7,13.4,13.6,17.2,13.5,13.4,17.2,13.7,13.6
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,400,400,400,400,400,400,400,400,400,400,400,400
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)","● 235/55 R19
○ 245/50 R20 (5000元)"
车轮制动,后轮胎规格,"● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20","● 235/55 R19
○ 245/50 R20"
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,-,-,-,-,●,-,-,●,-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 10个,● 11个,● 10个,● 11个,● 10个,● 11个,● 10个,● 10个,● 10个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,-,● HUAWEI华为,-,● HUAWEI华为,-,● HUAWEI华为,-,-,-,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为
驾驶硬件,激光雷达数量,-,● 1个,-,● 1个,-,● 1个,-,-,-,● 1个,● 1个,● 1个
驾驶硬件,激光雷达线数,-,● 192线,-,● 192线,-,● 192线,-,-,-,● 192线,● 192线,● 192线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾,● 华为乾崑智驾
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,高精定位,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,○,○,○,○,○,○,○,○,○,○,○,○
驾驶功能,循迹倒车,-,●,-,●,-,●,-,-,-,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,"○ 城市路段
● 高速路段",● 高速路段,"○ 城市路段
● 高速路段",● 高速路段,"○ 城市路段
● 高速路段",● 高速路段,● 高速路段,● 高速路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段"
外观/防盗,外观套件,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格,○ 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动前备厢,-,-,●,●,●,●,-,●,●,-,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,-,-,-,-,●,-,-,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙","○ 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
