セクション,項目,AION Y 2025款 Plus 430 智享版,AION Y 2025款 Plus 510 智享版,AION Y 2025款 Plus 510 智豪版,AION Y 2025款 Plus 610 智享版,AION Y 2025款 Plus 510 乐享版 58.9kWh,AION Y 2025款 Plus 510 乐享版 58.4kWh,AION Y 2024款 Younger,AION Y 2024款 Younger 星耀版,AION Y 2024款 Plus 510 智驾版,AION Y 2024款 Plus 610 智驾版,AION Y 2023款 Younger,AION Y 2023款 Younger 星耀版,AION Y 2023款 Plus 510 乐享版,AION Y 2023款 Plus 510 智领版,AION Y 2023款 Plus 610 乐享版
电动机,电动机总功率(kW),100,100,100,150,100,100,100,100,150,150,100,100,150,150,150
电动机,电动机总马力(Ps),136,136,136,204,136,136,136,136,204,204,136,136,204,204,204
电动机,电动机总扭矩(N·m),176,176,176,225,176,176,176,176,225,225,176,176,225,225,225
电动机,前电动机最大功率(kW),100,100,100,150,100,100,100,100,150,150,100,100,150,150,150
电动机,前电动机最大扭矩(N·m),176,176,176,225,176,176,176,176,225,225,176,176,225,225,225
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里,● 非营运车三电系统终身保修(首任车主)每年不超3万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 亿纬动力
● 因湃电池","● 因湃电池
● 时代广汽","● 因湃电池
● 时代广汽",● 时代广汽,-,-,● 亿纬动力,● 亿纬动力,● 时代广汽,-,● 亿纬动力,● 亿纬动力,● 时代广汽,● 时代广汽,-
电池/充电,电池特有技术,弹匣电池,弹匣电池,弹匣电池,弹匣电池,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,换电,-,-,-,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,CLTC纯电续航里程(km),430,510,510,610,510,510,430,430,510,610,430,430,510,510,610
电池/充电,电池能量(kWh),49.75,58.4/58.9,58.4/58.9,68.2,58.9,58.4,49.75,49.75,61.7,68.2,51.9,51.9,61.7,61.7,68.2
电池/充电,百公里耗电量(kWh/100km),12.9,12.9,12.9,12.6,12.9,12.9,12.9,12.9,13.3,12.6,12.9,12.9,13.3,13.3,12.6
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)"
车轮制动,后轮胎规格,"● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 225/45 R19 (4500元)
○ 215/50 R18 (2000元)","● 215/55 R17
○ 215/50 R18 (2000元)
○ 225/45 R19 (4500元)"
车轮制动,备胎规格,○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元),○ 非全尺寸 (1000元)
车轮制动,备胎放置方式,-,-,-,-,○ 后备厢内,○ 后备厢内,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,前 ● /后-,前 ● /后-,-,-,-,前 ● /后-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ○ /后 ●,前 ○ /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ○ /后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 倒车影像
驾驶硬件,透明底盘/540度影像,-,-,●,-,-,-,-,●,●,●,-,●,-,●,-
驾驶硬件,前方感知摄像头,-,-,● 单目,-,-,-,-,-,● 单目,● 单目,-,-,-,-,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 5个,● 1个,● 1个,● 1个,● 1个,● 4个,● 5个,● 5个,● 1个,● 4个,● 1个,● 4个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,"● 3个
○ 12个","● 3个
○ 12个",● 3个,● 3个,● 3个,"● 3个
○ 12个",● 3个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,辅助驾驶等级,-,-,● L2,-,-,-,-,-,● L2,● L2,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,○,-,-,-,-,○,-
驾驶功能,遥控泊车,-,-,-,-,-,-,-,-,○,-,-,-,-,○,-
外观/防盗,轮圈材质,"● 钢
○ 铝合金",● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,"● 钢
○ 铝合金",● 铝合金,● 铝合金,● 铝合金,"● 钢
○ 铝合金",● 铝合金,"● 钢
○ 铝合金",● 铝合金,"● 钢
○ 铝合金"
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,-,-,●,-,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,○ (1000元),●,●,●,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),●,○ (1000元),○ (1000元),○ (1000元),○ (1000元),●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,"○ 可开启全景天窗
● 不可开启全景天窗","○ 可开启全景天窗
● 不可开启全景天窗","○ 可开启全景天窗
● 不可开启全景天窗",-,"○ 可开启全景天窗
● 不可开启全景天窗",-,"○ 可开启全景天窗
● 不可开启全景天窗",-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,-,-,-,-,-,-,-,-,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-,-,-,"● 主驾驶+照明灯
● 副驾驶+照明灯",-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 锁车自动折叠",● 电动调节,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink",-,-,-,-,-,-,-,-,-,-,-
