セクション,項目,狮铂拓界 2026款 1.5T 两驱舒适版,狮铂拓界 2026款 1.5T 两驱豪华版,狮铂拓界 2026款 1.5T 两驱尊贵版,狮铂拓界 2026款 2.0T 两驱尊贵版,狮铂拓界 2026款 2.0T 四驱尊贵版,狮铂拓界 2026款 2.0T 两驱旗舰版,狮铂拓界 2026款 2.0T 四驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版
基本参数,长*宽*高(mm),4695*1865*1678,4695*1865*1680,4695*1865*1680,4695*1865*1680,4695*1865*1680,4695*1865*1680,4695*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1680,4670*1865*1680,4670*1865*1680
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),205,205,205,210,210,210,210,205,205,205,205,210,210,210,210,210,160,210,210,210,160,210,210,160
基本参数,WLTC综合油耗(L/100km),7,7,7,7.54,8.03,7.54,8.03,7,7,7,7,7.45,7.45,7.45,7.54,8.03,5.6,8.03,8.03,8.03,5.6,7.54,8.03,5.6
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),1545,1545,1545,1635,1706,1635,1706,1568,1568,1568,1568,1590,1590,1590,1637,1724,1622,1724,1724,1724,1622,1637,1724,1622
基本参数,最大满载质量(kg),2010,2010,2010,2065,2130,2065,2130,2010,2010,2010,2010,2100,2100,2100,2100,2185,2080,2185,2185,2185,2080,2100,2185,2080
车身,长度(mm),4695,4695,4695,4695,4695,4695,4695,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670
车身,宽度(mm),1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
车身,高度(mm),1678,1680,1680,1680,1680,1680,1680,1678,1678,1678,1680,1678,1678,1678,1680,1678,1678,1678,1678,1680,1680,1680,1680,1680
车身,轴距(mm),2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755
车身,前轮距(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1620,1615,1615,1615,1615,1615,1615,1615
车身,后轮距(mm),1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1627,1622,1622,1622,1622,1622,1622,1622
车身,满载最小离地间隙(mm),156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,165,156,156,156,165,156,156,165
车身,接近角(°),19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,52,54,54,54,52,54,54,52
车身,后备厢容积(L),545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,G4FS,G4FS,G4FS,G4NN,G4NN,G4NN,G4NN,G4FS,G4FS,G4FS,G4FS,G4NN,G4NN,G4NN,G4NN,G4NN,G4NR,G4NN,G4NN,G4NN,G4NR,G4NN,G4NN,G4NR
发动机,排量(mL),1497,1497,1497,1975,1975,1975,1975,1497,1497,1497,1497,1975,1975,1975,1975,1975,1999,1975,1975,1975,1999,1975,1975,1999
发动机,排量(L),1.5,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),200,200,200,245,245,245,245,200,200,200,200,236,236,236,236,236,150,236,236,236,150,236,236,150
发动机,最大功率(kW),147,147,147,180,180,180,180,147,147,147,147,173.6,173.6,173.6,173.6,173.6,110,173.6,173.6,173.6,110,173.6,173.6,110
发动机,最大功率转速(rpm),6000,6000,6000,-,-,-,-,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),253,253,253,353,353,353,353,253,253,253,253,353,353,353,353,353,186,353,353,353,186,353,353,186
发动机,最大扭矩转速(rpm),2200-4000,2200-4000,2200-4000,1500-4500,1500-4500,1500-4500,1500-4500,2200-4000,2200-4000,2200-4000,2200-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,5000,1500-4000,1500-4000,1500-4000,5000,1500-4000,1500-4000,5000
发动机,最大净功率(kW),147,147,147,180,180,180,180,147,147,147,147,173.6,173.6,173.6,173.6,173.6,110,173.6,173.6,173.6,110,173.6,173.6,110
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,汽油,汽油,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,永磁/同步,-,-,-,永磁/同步,-,-,永磁/同步
电动机,电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,-,-,-,44.2,-,-,44.2
电动机,电动机总马力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.1,-,-,-,60.1,-,-,60.1
电动机,电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,-,-,-,264,-,-,264
电动机,前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,-,-,-,44.2,-,-,44.2
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,-,-,-,264,-,-,264
电动机,系统综合功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,-,-,-,147,-,-,147
电动机,系统综合马力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,200,-,-,200
电动机,系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,-,-,-,350,-,-,350
电动机,驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,单电机,-,-,-,单电机,-,-,单电机
电动机,电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前置,-,-,-,前置,-,-,前置
电动机,三电系统质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 十年或20万公里,-,-,-,● 十年或20万公里,-,-,● 十年或20万公里
电池/充电,电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 三元锂电池,-,-,-,● 三元锂电池,-,-,● 三元锂电池
电池/充电,电芯品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 捷威,-,-,-,● 捷威,-,-,● 捷威
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,6,8,8,6
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱
底盘转向,四驱形式,-,-,-,-,● 适时四驱,-,● 适时四驱,-,-,-,-,-,-,-,-,● 适时四驱,-,● 适时四驱,● 适时四驱,● 适时四驱,-,-,● 适时四驱,-
底盘转向,中央差速器结构,-,-,-,-,● 多片离合器,-,● 多片离合器,-,-,-,-,-,-,-,-,● 多片离合器,-,● 多片离合器,● 多片离合器,● 多片离合器,-,-,● 多片离合器,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/60 R18
车轮制动,后轮胎规格,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/60 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 补胎工具,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 补胎工具,● 非全尺寸,● 非全尺寸,● 补胎工具
车轮制动,备胎放置方式,-,-,-,-,-,-,-,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,● 后备厢内,● 后备厢内,● 后备厢内,-,● 后备厢内,● 后备厢内,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,○,○,○,●,●,-,-,-,○,-,-,-,○,-,-,-,-,○,○,●,●,●
主动安全,前方碰撞预警,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,●
主动安全,道路救援呼叫,-,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●
