セクション,項目,北京越野BJ40增程 2026款 长续航 201 Max,北京越野BJ40增程 2026款 长续航 201 Max+,北京越野BJ40增程 2026款 长续航 252 Ultra,北京越野BJ40增程 2026款 公务版,北京越野BJ40增程 2026款 卓越版,北京越野BJ40增程 2026款 恒通版,北京越野BJ40增程 2025款 标准版,北京越野BJ40增程 2025款 标准版Ⅰ,北京越野BJ40增程 2025款 进阶版,北京越野BJ40增程 2025款 元境智行版,北京越野BJ40增程 2025款 行业版
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),188,188,188,188,188,188,188,188,188,188,188
发动机,最大功率(kW),138,138,138,138,138,138,138,138,138,138,138
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),130,130,130,130,130,130,130,130,130,130,130
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ190XS126,TZ190XS126,TZ190XS126,TZ190XS126,TZ190XS126,TZ190XS126,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A,TZ180XS502A
电动机,后电动机型号,TZ220XSP02,TZ220XSP02,TZ220XSP02,TZ220XSP02,TZ220XSP02,TZ220XSP02,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806,TZ220XY806
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),391,391,391,391,391,391,403,403,403,403,403
电动机,电动机总马力(Ps),532,532,532,532,532,532,548,548,548,548,548
电动机,电动机总扭矩(N·m),655,655,655,655,655,625,655,655,655,655,655
电动机,前电动机最大功率(kW),170,170,170,170,170,170,153,153,153,153,153
电动机,后电动机最大功率(kW),221,221,221,221,221,221,250,250,250,250,250
电动机,系统综合功率(kW),391,391,391,391,391,391,403,403,403,403,403
电动机,系统综合马力(Ps),532,532,532,532,532,532,548,548,548,548,548
电动机,系统综合扭矩(N·m),625,625,625,625,625,625,655,655,655,655,655
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,-,-,-,-,-,-,-,-,-,-,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 亿纬动力,● 亿纬动力,● 宁德时代,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),145,145,170,145,145,145,126,126,126,126,126
电池/充电,CLTC纯电续航里程(km),201,201,252,201,201,201,152,152,152,152,152
电池/充电,CLTC综合续航(km),1249,1249,1300,1249,1249,1249,1200,1200,1200,1200,1200
电池/充电,电池能量(kWh),41.7,41.7,49.4,41.7,41.7,41.7,40.3,40.3,40.3,40.3,40.3
电池/充电,百公里耗电量(kWh/100km),24.5,24.5,25.1,24.5,24.5,24.5,23.8,23.7,23.8,23.7,23.8
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,-,-,60,-,-,-,-,-
电池/充电,电池快充时间(小时),0.25,0.25,0.23,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
电池/充电,对外直流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20
车轮制动,后轮胎规格,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20
车轮制动,备胎规格,○ 全尺寸,○ 全尺寸,○ 全尺寸,● 全尺寸,○ 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,○ 背负式,○ 背负式,○ 背负式,● 背负式,○ 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,-,-,-,-,-,前 ● /后 ●,前 ● /后 ●,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,-,-,●,●,●,●,●,●
主动安全,DOW开门预警,-,●,●,-,-,-,-,-,●,●,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,●,●,-,-,-,-,-,●,●,-
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,-,●,●,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,单踏板模式,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,拖挂模式,○,○,○,-,○,-,○,○,○,○,○
四驱/越野,中央差速器锁止功能,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,"○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁",● 后桥差速锁,"○ 前桥差速锁
● 后桥差速锁",● 后桥差速锁,"○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁"
四驱/越野,涉水感应系统,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,低速四驱,●,●,●,●,●,●,-,-,-,-,-
四驱/越野,蠕行模式,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,坦克转弯,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,拖挂钩,○ 手动,○ 手动,○ 手动,-,○ 手动,-,○ 手动,○ 手动,○ 手动,○ 手动,○ 手动
四驱/越野,拖车取电口,○,○,○,-,○,-,○,○,○,○,○
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 双目,● 双目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 双目,● 单目
驾驶硬件,摄像头数量,● 5个,● 11个,● 11个,● 5个,● 5个,● 5个,● 5个,● 5个,● 6个,● 11个,● 5个
驾驶硬件,超声波雷达数量,● 4个,● 12个,● 12个,● 4个,● 4个,● 4个,● 4个,● 4个,● 12个,● 12个,● 4个
驾驶硬件,毫米波雷达数量,● 1个,● 3个,● 3个,-,-,● 1个,● 1个,● 1个,● 4个,● 3个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● 元境智能辅助驾驶,● 元境智能辅助驾驶,● 元境智能辅助驾驶,● 元境智能辅助驾驶,-,-,-,-,● 元境智能辅助驾驶,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,-,-,-,-,-,●,●,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精地图,-,●,●,-,-,-,-,-,-,●,-
驾驶功能,并线辅助,-,●,●,-,-,-,-,-,●,●,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,-,-,-,-,-,●,●,-
驾驶功能,遥控泊车,-,●,●,-,-,-,-,-,●,●,-
驾驶功能,循迹倒车,-,●,●,-,-,-,-,-,●,●,-
驾驶功能,辅助变道,-,●,●,-,-,-,-,-,-,●,-
驾驶功能,辅助匝道自动驶出(入),-,●,●,-,-,-,-,-,-,●,-
驾驶功能,信号灯识别,-,●,●,-,-,-,-,-,-,●,-
驾驶功能,方向盘离手检测,-,●,●,-,-,-,-,-,-,●,-
驾驶功能,辅助驾驶路段,-,● 高速路段,● 高速路段,-,-,-,-,-,-,● 高速路段,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,尾门玻璃独立开启,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,● 固定,● 电动,● 电动,● 固定,● 固定,● 固定,● 固定,● 固定,● 电动,● 电动,● 固定
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,-,-,-,-,-,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,-,○,○,-,-,-,-,-,●,○,-
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
